feature,coefficient,std_err,p_value,pct_effect
const,7.282344586609085,0.17416657994173032,0.0,
cpu_serie_3.0,-0.4336120432579821,0.09478762713767873,4.772132840140071e-06,-35.18363338218145
marque_MYTEK,0.3518229520285645,0.11840068875616622,0.002963871424587928,42.16567999831322
marque_MSI,0.2661371402395342,0.1262941182361483,0.03509326739667906,30.49140026353325
cpu_serie_5.0,-0.2150805348889449,0.07271182319455148,0.0030965646581106523,-19.352351193249675
marque_LENOVO,0.20101408186813158,0.07063339774075399,0.004428906268478779,22.264198878536146
marque_HP,0.19820692231866444,0.06036856980520791,0.0010260667031423126,21.92146504443997
marque_DELL,0.09850858120703945,0.058428420110706134,0.09180151927106867,10.352387392059637
ram_go,0.017735247327409217,0.0025759985055610773,5.786675623662937e-12,1.7735247327409216
cpu_serie_7.0,0.011741568169502975,0.07848378717467301,0.8810762511997975,1.1810770965601236
stockage_go,0.0006217743940936557,0.00022935622153587583,0.0067089731929918465,0.06217743940936557
