feature,coefficient,std_err,p_value,pct_effect
const,6.944306725191187,0.09632341123053935,0.0,
os_platform_Windows 11,-0.4892113671442439,0.058179415195410984,4.14694302791625e-17,-38.689027795376084
marque_BMAX,-0.4892113671442425,0.05817941519541094,4.146943027916908e-17,-38.689027795376006
marque_MSI,0.42194075364115424,0.08749769055112157,1.4190708382463426e-06,52.49181761574202
marque_HP,0.3922982673672367,0.069115886078249,1.3792160189202901e-08,48.037919436385
cpu_serie_9.0,0.33313143479446505,0.08210871159076683,4.966462756774009e-05,39.533068141941264
marque_DELL,0.28224790030871066,0.06941994202811075,4.786708687832319e-05,32.61074216817013
cpu_serie_3.0,-0.25990957948072824,0.0601564879581773,1.556353263566482e-05,-22.887869215955615
marque_MYTEK,0.24194624920679814,0.09538362964266775,0.011194772634161371,27.37257272080118
cpu_serie_7.0,0.22580229145603942,0.059442121959801766,0.00014546193614407192,25.332784715734746
marque_LENOVO,0.22049160024736256,0.05848278081471506,0.0001631187870410271,24.668945281122888
has_wifi,0.20440851996519674,0.06276793180260881,0.0011276486657857973,22.679922307668466
os_platform_Windows 11 Pro,-0.1358173469914455,0.05382341369361868,0.011623013547094689,-12.699792561763445
has_5g,0.09214702544579721,0.04800653570062701,0.0549250891810643,9.652602745789562
marque_CHUWI,0.07389562212459609,0.07262716737428773,0.30893213486455684,7.669441655520326
os_platform_Windows 11 Famille,0.05186446626339717,0.1335293249514278,0.6977107546491346,5.3232984237435055
cpu_serie_5.0,-0.02585418444532407,0.057612626748181434,0.653605522198518,-2.552282682097362
ram_go,0.017491592132584145,0.0027326310697621033,1.5435493057288247e-10,1.7491592132584146
stockage_go,0.0004782284263982698,0.00010834707745610857,1.0154539262431899e-05,0.04782284263982698
