feature,coefficient
os_platform_Windows 11,-0.4909626801916136
marque_BMAX,-0.4909626801915289
marque_MSI,0.4123115961725353
marque_HP,0.3872515894379734
cpu_serie_9.0,0.33515406825263966
marque_DELL,0.2756673377686289
cpu_serie_3.0,-0.2601491296060049
marque_MYTEK,0.23310462932609935
cpu_serie_7.0,0.22409215885856124
marque_LENOVO,0.2160466495162447
has_wifi,0.20004250590029685
os_platform_Windows 11 Pro,-0.13460960594910046
has_5g,0.0926534407397595
marque_CHUWI,0.06869944451204875
os_platform_Windows 11 Famille,0.05041923620339253
cpu_serie_5.0,-0.026866572080701534
ram_go,0.01752007884764504
stockage_go,0.0004802141600743045
