marque,n,n_gammes_planifie,n_gammes_effectif
MSI,321,3,3
MYTEK,230,3,3
DELL,90,3,3
LENOVO,87,3,3
ASUS,68,3,3
HP,68,3,3
BMAX,5,1,1
