feature,ols_coefficient,ridge_coefficient,ols_ridge_signes_accordent,rf_importance
stockage_go,0.0004782284263982492,0.0004927122302789798,True,0.6517072931788401
ram_go,0.017491592132583784,0.017655842155199424,True,0.09426203848510051
cpu_serie_5.0,-0.025854184445325338,-0.033756232412858564,True,0.07751795631495209
cpu_serie_3.0,-0.2599095794807255,-0.2610371985482677,True,0.037541318538611715
marque_BMAX,-0.48921136714424573,-0.5029794466517716,True,0.02461751720080695
os_platform_Windows 11,-0.4892113671442461,-0.5029794466517675,True,0.0198936258753532
marque_MYTEK,0.24194624920679916,0.1721252901156158,True,0.01823341861668942
has_wifi,0.20440851996519568,0.16977648626783998,True,0.01611523842975103
cpu_serie_7.0,0.22580229145603972,0.21202174640233512,True,0.01503408794242868
marque_LENOVO,0.22049160024736308,0.18402674578340292,True,0.010453898518499111
marque_HP,0.39229826736723783,0.3507132914484731,True,0.010172847573034351
has_5g,0.09214702544579853,0.09642613657217314,True,0.009117371667860004
marque_MSI,0.42194075364116124,0.3459544234590946,True,0.0075217762131617825
marque_DELL,0.28224790030871433,0.2288374641749783,True,0.003749282678072261
os_platform_Windows 11 Pro,-0.13581734699144465,-0.1261508387387782,True,0.0030076534301682056
os_platform_Windows 11 Famille,0.051864466263399425,0.04051021192673242,True,0.0005407514827157764
marque_CHUWI,0.07389562212459522,0.030820217577173924,True,0.0005027932037546868
cpu_serie_9.0,0.3331314347944739,0.34878851312694525,True,1.1130650200084869e-05
