feature,coefficient
marque_UNIWA,-0.6174714942421226
cpu_brand_Qualcomm,0.24057610147319997
has_wifi,0.23675065463256006
marque_OSCAL,-0.21179758803533846
marque_OPPO,0.09720204784374464
marque_SAMSUNG,-0.09086473067936841
cpu_brand_MediaTek,0.07960483376776972
marque_XIAOMI,0.06322090049923186
taille_ecran,-0.04686864935530818
ram_go,0.03617991011067694
marque_INFINIX,0.013819266447746302
marque_TECNO,-0.01367757691247335
marque_VIVO,0.0028410348196436664
has_5g,-0.001824253087309949
stockage_go,-3.156690440309557e-05
