feature,coefficient,std_err,p_value,pct_effect
const,15.698049710575802,3.0257545545147075,2.124005738914253e-07,
marque_UNIWA,-1.9629237829970745,0.4482626202888236,1.1924738175899018e-05,-85.95528170567792
taille_ecran,-1.5260639990861684,0.4542819328060258,0.0007814348711072805,-152.60639990861685
cpu_brand_Qualcomm,0.6573006319816928,0.11672835492583034,1.7913866536519395e-08,92.95766605311395
has_wifi,0.4001490115562873,0.1403581985362092,0.004359389680555174,49.20470133245654
cpu_brand_MediaTek,0.3791690656700904,0.11031575291457428,0.0005879235498126387,46.10700316475289
marque_XIAOMI,0.3344751620935264,0.10419865028708172,0.0013274607559722697,39.72068856183475
marque_TECNO,-0.3316621396483901,0.13545386010094068,0.014344254317657363,-28.227022567131755
has_5g,0.26129824771011145,0.08891434479656724,0.0032952421753236,29.861491660762617
marque_INFINIX,0.25718768758762567,0.1250349581353828,0.03969332049439772,29.328783805612257
marque_OSCAL,-0.2095208455858748,0.10541518387443656,0.0468584389282465,-18.902726594487827
marque_VIVO,0.12296654903176887,0.0999847467074795,0.2187521258021834,13.084659240135533
marque_SAMSUNG,-0.0802933739373081,0.10013035789090478,0.4226175083721534,-7.7154432168869524
ram_go,0.02383820768523434,0.016435369575865194,0.14694111195672618,2.3838207685234343
marque_OPPO,-0.018062182058025317,0.09836928048656639,0.854314644534616,-1.790003853722688
stockage_go,1.0165021418410795e-05,7.911998183787954e-05,0.897772263713414,0.0010165021418410795
