feature,importance
ram_go,0.3366400362091797
stockage_go,0.21322843946862474
taille_ecran,0.11613015298930385
cpu_brand_Qualcomm,0.10338264472894382
marque_SAMSUNG,0.08711427202154118
cpu_brand_MediaTek,0.03463314872181041
marque_OPPO,0.026303206836617413
marque_OSCAL,0.016374483873827242
marque_UNIWA,0.014723811775930582
has_5g,0.013448163142138276
marque_XIAOMI,0.0103826737138201
marque_INFINIX,0.009478325273469168
marque_VIVO,0.008480837365934024
marque_TECNO,0.005296994398033573
has_wifi,0.004382809480826031
