feature,coefficient,std_err,p_value,pct_effect
const,8.966229391027387,1.1741446772755766,2.233929311649761e-14,
marque_GIGABYTE,0.45001119677029444,0.1816939161563045,0.013258311987466537,56.8329745619768
cpu_brand_Autre,0.4395735825722693,0.1120977702711039,8.805754462407384e-05,55.20452582389284
cpu_brand_Qualcomm,-0.15207125913643482,0.17084237484205336,0.3733981726339868,-14.107292784110847
marque_LENOVO,0.14229119185413852,0.11243347828804727,0.20567103975432277,15.291231833811336
taille_ecran,-0.12438789317568322,0.07330090767001844,0.08970632564467285,-12.438789317568322
marque_HP,0.08686791230905933,0.07515915914995953,0.24776865520251412,9.07525952109034
os_platform_Windows 11 Pro,-0.07893780326692978,0.0672832143494838,0.24070884188136277,-7.590260150305561
os_platform_Windows 11 Famille,0.07704927848251342,0.08649833492932385,0.3730578040733601,8.00953005385674
cpu_serie,0.05661181325141085,0.015147712102691805,0.00018599381737812308,5.824493399213471
marque_CHUWI,-0.04392611850654138,0.11377191608565186,0.6994305401010741,-4.297533872758508
ram_go,0.031462014297648486,0.003972947227078892,2.393095464093419e-15,3.1462014297648486
os_platform_Windows 11 Pro (Offert),-0.026312601088976706,0.03368382535541285,0.43470588110232233,-2.5969441000510685
marque_DELL,-0.02504897073523482,0.11865869953736718,0.8328084559542485,-2.473784844569882
stockage_go,0.0003657255083878803,0.00022922284793918833,0.11060002696072203,0.036572550838788034
