feature,coefficient
marque_GIGABYTE,0.3137232303997278
cpu_brand_Autre,0.2298969144826441
marque_DELL,-0.11208298548800424
marque_CHUWI,-0.10807858366654143
os_platform_Windows 11 Pro,-0.10223594537888818
cpu_brand_Qualcomm,-0.08326238268328831
taille_ecran,-0.08019177367541376
marque_LENOVO,0.04637267219042585
os_platform_Windows 11 Pro (Offert),0.045351296319304214
cpu_serie,0.04115181671490911
ram_go,0.022860571409979817
os_platform_Windows 11 Famille,0.020159981700614546
marque_HP,0.004732531332230911
stockage_go,0.0003856694453301162
