url,prix_tnd,nom,marque,ram_go,stockage_go,cpu_serie,os_platform,has_5g,has_wifi
https://www.mytek.tn/pc-de-bureau-dell-tower-ect1250-i3-14e-gen-8g-512go-ssd-noir.html,1599.0,PC de Bureau DELL Tower ECT1250 i3 14è Gén 8G 512Go SSD - Noir,DELL,8.0,512.0,3.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i3-14e-gen-8go-512go-ssd-noir.html,1625.0,PC de Bureau DELL Pro Tower QCT1250 i3 14è Gén 8Go 512Go SSD - Noir,DELL,8.0,512.0,3.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i3-14e-gen-8g-512go-ssd-noir.html,1699.0,PC de Bureau DELL Pro Tower QCT1250 i3 14è Gén 8G 512Go SSD - Noir,DELL,8.0,512.0,3.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-tower-ect1250-i5-14e-gen-8go-512go-ssd-noir.html,1855.0,PC de Bureau DELL Tower ECT1250 i5 14è Gén 8Go 512Go SSD - Noir,DELL,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-essential-qvt1260-i5-14e-gen-8go-512go-ssd-noir.html,1859.0,PC de Bureau DELL Pro Tower Essential QVT1260 i5 14è Gén 8Go 512Go SSD - Noir,DELL,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-essential-qvt1260-i5-14e-gen-8g-512go-ssd-noir.html,1899.0,PC de Bureau DELL Pro Tower Essential QVT1260 i5 14è Gén 8Go 512Go SSD - Noir,DELL,8.0,512.0,5.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i3-14e-gen-16go-512go-ssd-noir.html,2019.0,PC de Bureau DELL Pro Tower QCT1250 i3 14è Gén 16Go 512Go SSD - Noir,DELL,16.0,512.0,3.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i3-14e-gen-16g-512go-ssd-noir.html,2109.0,PC de Bureau DELL Pro Tower QCT1250 i3 14è Gén 16G 512Go SSD - Noir,DELL,16.0,512.0,3.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-plus-qbt1250-ultra-5-235-8go-512go-ssd-noir.html,2199.0,PC de Bureau DELL Pro Tower Plus QBT1250 Ultra 5 235 8Go 512Go SSD - Noir,DELL,8.0,512.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-tower-ect1250-i5-14e-gen-16go-512go-ssd-noir.html,2289.0,PC de Bureau DELL Tower ECT1250 i5 14è Gén 16Go 512Go SSD - Noir,DELL,16.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-dell-pro-tower-qct1250-i5-14e-gen-16go-512go-ssd-noir.html,2459.0,PC de Bureau DELL Pro Tower QCT1250 i5 14è Gén 16Go 512Go SSD - Noir,DELL,16.0,512.0,5.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-dell-tower-ect1250-i5-14e-gen-24go-512go-ssd-noir.html,2689.0,PC de Bureau DELL Tower ECT1250 i5 14è Gén 24Go 512Go SSD - Noir,DELL,24.0,512.0,5.0,FreeDos,0,1
