url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,cpu_brand,os_platform,has_4g,has_5g,has_wifi6,has_wifi,has_bluetooth
https://www.mytek.tn/smartphone-oppo-a6-pro-4g-8go-256go-rouge.html,999.0,Smartphone OPPO A6 PRO 4G 8Go 256Go - Rouge,OPPO,8.0,256.0,6.57,MediaTek,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-oppo-a6-8go-256go-aurora-gold.html,1199.0,Smartphone OPPO A6 8Go 256Go - Aurora Gold,OPPO,8.0,256.0,6.75,MediaTek,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oppo-a6-8go-256go-saphir-bleu.html,1199.0,Smartphone OPPO A6 8Go 256Go - Saphir Bleu,OPPO,8.0,256.0,6.75,MediaTek,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oppo-a6-pro-5g-8go-256go-bleu.html,1399.0,Smartphone OPPO A6 PRO 5G 8Go 256Go - Bleu,OPPO,8.0,256.0,6.57,MediaTek,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oppo-a6-pro-5g-8go-256go-rouge.html,1399.0,Smartphone OPPO A6 PRO 5G 8Go 256Go - Rouge,OPPO,8.0,256.0,6.57,MediaTek,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oppo-reno14-f-5g-12go-256go-opal-blue.html,1999.0,Smartphone OPPO Reno14 F 5G 12Go 512Go OPAL BLUE,OPPO,12.0,512.0,6.57,Qualcomm,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oppo-reno-15f-5g-24go-512go-bleu-crepuscule.html,2099.0,Smartphone OPPO Reno 15F 5G 24Go 512Go - Bleu Crépuscule,OPPO,12.0,512.0,6.57,Qualcomm,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oppo-reno-15f-5g-24go-512go-bleu-aurore.html,2099.0,Smartphone OPPO Reno 15F 5G 24Go 512Go - Bleu Aurore,OPPO,12.0,512.0,6.57,Qualcomm,Android,0,1,0,1,1
https://www.mytek.tn/smartphone-oscal-flat-2-4go-128go-bleu.html,329.0,Smartphone OSCAL Flat 2 12Go 128Go - Bleu,OSCAL,4.0,2048.0,6.56,Autre,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-oscal-flat-2-12go-128go-noir.html,329.0,Smartphone OSCAL Flat 2 12Go 128Go - Noir,OSCAL,4.0,2048.0,6.56,Autre,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-oscal-flat-2-6go-256go-noir.html,399.0,Smartphone OSCAL Flat 2 18Go 256Go - Noir,OSCAL,6.0,2048.0,6.56,Autre,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-oscal-flat-2-6go-256go-bleu.html,399.0,Smartphone OSCAL Flat 2 18Go 256Go - Bleu,OSCAL,6.0,2048.0,6.56,Autre,Android,1,0,0,1,1
https://www.mytek.tn/smartphone-oscal-marine-2-12go-64go-noir.html,449.0,Smartphone OSCAL Marine 2 12Go 64Go - Noir,OSCAL,4.0,2048.0,6.56,Autre,Android,1,0,0,1,1
