feature,coefficient,std_err,p_value,pct_effect
const,5.639636303788915,0.08760832140969924,0.0,
cpu_serie_7.0,2.0435308443172264,0.035517568083756494,0.0,671.7811538016505
has_wifi,1.8813894155044066,0.13374603320350661,6.068826449286535e-45,556.2616732075674
cpu_serie_5.0,1.7147160439672864,0.0326470610560485,0.0,455.5097884826881
cpu_serie_9.0,0.4341761284900869,0.15261109024087394,0.004441363700276694,54.3690732092093
marque_MSI,0.18658371772169063,0.065594525227807,0.004448099275452186,20.512550822455843
marque_MYTEK,0.03475271441200692,0.0807736297818516,0.6670150530508856,3.536364663254221
ram_go,0.016099998234262437,0.0038672353518244573,3.1384527531576104e-05,1.6099998234262436
stockage_go,0.0002617922659575554,0.00015071085078349246,0.08237836610849919,0.026179226595755542
