feature,coefficient
technologie_dalle_OLED,0.7634085530424727
resolution_affichage_HD Ready,-0.43994769667244066
os_platform_Inconnu,0.3329098020140313
technologie_dalle_QNED,0.2503245271264829
os_platform_webOS,0.23485375532998543
marque_LG,0.2348537553299843
marque_TCL,0.2052114774227718
resolution_affichage_Full HD,-0.20309132089692533
marque_THOMSON,0.19925113606491965
os_platform_VIDAA,0.17943365286923307
marque_VEGA,-0.14246968270113106
technologie_dalle_Mini-LED,0.1386106154065749
smart_tv,0.1359967401014503
marque_SAMSUNG,0.1309695152081472
os_platform_Tizen,0.13096951520814498
marque_HAIER,0.1305931095325679
marque_ECOSAT,0.11779020155458658
has_4g,-0.11584154676184524
marque_HISENSE,0.11056338660584304
technologie_dalle_QLED,0.10190734360543119
has_wifi,0.09563258871601683
marque_BIOLUX,-0.0774100479297898
has_bluetooth,-0.07410997871302712
marque_IFFALCON,0.07146398087634173
marque_ETERNAL,-0.07058372931617544
marque_MAXWELL,-0.06589668478842384
has_ethernet,0.06549618395959207
os_platform_Google TV,-0.03966333647136577
taille_ecran,0.03573428964231205
marque_TELEFUNKEN,-0.027600315102151385
marque_IRIS,-0.013346837311338457
hdr,0.010688408366788067
os_platform_Autre,0.003840458776688745
taux_rafraichissement,0.0021765424191153905
has_wifi6,0.0019390447592715402
