feature,coefficient,std_err,p_value,pct_effect
const,4.654707693380462,0.11657100902473744,0.0,
technologie_dalle_OLED,0.9571769340380113,0.11907217598573377,9.084988854262504e-16,160.43338794399892
marque_THOMSON,0.36233867362963235,0.07657334864680317,2.224101683945685e-06,43.66854270440843
resolution_affichage_HD Ready,-0.351239222450777,0.08602770267435017,4.4484476288913545e-05,-29.61846347213165
os_platform_Inconnu,0.33710262542488456,0.11253125689820521,0.0027387361254126346,40.08828225566325
marque_TCL,0.3330638889129932,0.05449444299636215,9.845976772390793e-10,39.52364357615803
marque_LG,0.3000962724816234,0.03008117478789298,1.9371548782411974e-23,34.99887680889597
os_platform_webOS,0.30009627248162163,0.030081174787892653,1.9371548782402108e-23,34.99887680889575
marque_HAIER,0.28321895582566964,0.05678866981609091,6.124667769855663e-07,32.73957710377431
technologie_dalle_QNED,0.25579781976054994,0.07626011097381079,0.0007957159331488285,29.149158746347048
marque_HISENSE,0.245802213995439,0.055272712696794346,8.704514253780713e-06,27.864665011803382
marque_ECOSAT,0.23321976885335727,0.05638772223741008,3.534081033853134e-05,26.265894194517657
marque_IFFALCON,0.20596721819020103,0.03969730052090889,2.1205858282837064e-07,22.87129239017196
marque_SAMSUNG,0.20310171697389,0.029812134055127067,9.577054449900259e-12,22.519708524949
os_platform_Tizen,0.2031017169738878,0.029812134055124766,9.577054449870147e-12,22.519708524948733
has_4g,-0.15221794214863538,0.05897024007591268,0.009843837954382206,-14.1198908611468
marque_IRIS,0.15169621622723928,0.046793531991939356,0.0011876893740156778,16.380663715497157
has_wifi,0.1403535414719581,0.09159128909705157,0.1254263152884195,15.068054024496803
technologie_dalle_Mini-LED,0.13980010836049672,0.08982857401117487,0.11963703967313387,15.004389172071875
has_wifi6,-0.13931877847857455,0.07629512135161405,0.06784258828789166,-13.004933729720769
resolution_affichage_Full HD,-0.13201054747173097,0.052642401418773334,0.012152503258236379,-12.366824805375309
os_platform_VIDAA,0.11236917861031048,0.06605510051414218,0.0889161189151985,11.892586790058402
has_bluetooth,-0.11083780787779329,0.0628415675606478,0.07777141717484412,-10.491608728414203
technologie_dalle_QLED,0.10259980960057058,0.030830348195176945,0.0008750842678991384,10.804789020816074
smart_tv,0.10090024638834016,0.07020888615934656,0.1506772150555377,10.61662921768891
marque_TELEFUNKEN,0.0916730795307168,0.057779218379681495,0.11260102526900694,9.600645656038044
marque_ETERNAL,0.06725844841586426,0.05279767559463634,0.20270228572633098,6.957187161220979
hdr,0.060682064966368854,0.049332989476229126,0.2186782205088642,6.256103509981226
marque_MAXWELL,0.04969394492851631,0.06144426828781918,0.41865060072855764,5.0949398756579
os_platform_Google TV,-0.04369746751893988,0.041259979832608845,0.28956502429657993,-4.275648907448504
marque_BIOLUX,0.04199413342459213,0.11282187524568164,0.7097318607110248,4.288836054960776
has_ethernet,0.041323425542890146,0.03371706311672906,0.22035154945212598,4.218912162519328
taille_ecran,0.03894581818106967,0.0014153792010986959,1.1245360583465147e-166,3.894581818106967
os_platform_Autre,0.02413501865111911,0.05665522926014586,0.6701092480944699,2.44286255245425
marque_VEGA,0.010513961353770362,0.07085454832104052,0.8820366072946725,1.0569427263820597
taux_rafraichissement,0.0017203758141419185,0.0004894136099311483,0.00043945980297120484,0.17203758141419184
