feature,ols_coefficient,ridge_coefficient,ols_ridge_signes_accordent,rf_importance
taille_ecran,0.03894581818106967,0.03573428964231205,True,0.9045969632444523
resolution_affichage_Full HD,-0.13201054747173097,-0.20309132089692533,True,0.015418436706859535
taux_rafraichissement,0.0017203758141419185,0.0021765424191153905,True,0.014028450392332177
os_platform_webOS,0.30009627248162163,0.23485375532998543,True,0.012446411103458033
marque_LG,0.3000962724816234,0.2348537553299843,True,0.01123413055553945
has_bluetooth,-0.11083780787779329,-0.07410997871302712,True,0.004811869838597764
hdr,0.060682064966368854,0.010688408366788067,True,0.0044615218667940874
os_platform_Tizen,0.2031017169738878,0.13096951520814498,True,0.004266460905144439
marque_SAMSUNG,0.20310171697389,0.1309695152081472,True,0.004032057159468517
has_ethernet,0.041323425542890146,0.06549618395959207,True,0.003143361759979185
has_wifi,0.1403535414719581,0.09563258871601683,True,0.0029415437059552695
os_platform_Google TV,-0.04369746751893988,-0.03966333647136577,True,0.002888624054097047
marque_TCL,0.3330638889129932,0.2052114774227718,True,0.0022942952798030323
marque_TELEFUNKEN,0.0916730795307168,-0.027600315102151385,False,0.0022329217230824413
os_platform_Autre,0.02413501865111911,0.003840458776688745,True,0.0021116038161582487
marque_VEGA,0.010513961353770362,-0.14246968270113106,False,0.001471586199200467
marque_THOMSON,0.36233867362963235,0.19925113606491965,True,0.0012176273961119408
marque_MAXWELL,0.04969394492851631,-0.06589668478842384,False,0.0009079613727086856
technologie_dalle_QLED,0.10259980960057058,0.10190734360543119,True,0.0008655504749887718
technologie_dalle_Mini-LED,0.13980010836049672,0.1386106154065749,True,0.0008516774355325278
marque_IRIS,0.15169621622723928,-0.013346837311338457,False,0.0007597694036936912
has_wifi6,-0.13931877847857455,0.0019390447592715402,False,0.0007445521655745053
technologie_dalle_OLED,0.9571769340380113,0.7634085530424727,True,0.0006087313471772409
smart_tv,0.10090024638834016,0.1359967401014503,True,0.0004245206532326938
marque_HISENSE,0.245802213995439,0.11056338660584304,True,0.0003738886692270532
technologie_dalle_QNED,0.25579781976054994,0.2503245271264829,True,0.00026128306046928367
os_platform_Inconnu,0.33710262542488456,0.3329098020140313,True,0.00019283791952078128
marque_BIOLUX,0.04199413342459213,-0.0774100479297898,False,0.00013758839725695155
marque_ECOSAT,0.23321976885335727,0.11779020155458658,True,9.843279209947574e-05
marque_IFFALCON,0.20596721819020103,0.07146398087634173,True,5.769598924246933e-05
has_4g,-0.15221794214863538,-0.11584154676184524,True,5.464076932097144e-05
marque_HAIER,0.28321895582566964,0.1305931095325679,True,2.4449110767504512e-05
resolution_affichage_HD Ready,-0.351239222450777,-0.43994769667244066,True,2.444677756540215e-05
os_platform_VIDAA,0.11236917861031048,0.17943365286923307,True,1.3899389116372679e-05
marque_ETERNAL,0.06725844841586426,-0.07058372931617544,False,2.0856547162156398e-07
