marque,n,n_gammes_planifie,n_gammes_effectif
SAMSUNG,83,3,3
TELEFUNKEN,77,3,3
TCL,71,3,3
LG,40,3,3
THOMSON,40,3,3
HISENSE,36,3,3
MAXWELL,25,3,3
VEGA,24,3,3
ECOSAT,20,3,3
ALMATV,8,1,1
IFFALCON,8,1,1
