feature,importance
taille_ecran,0.9045969632444523
resolution_affichage_Full HD,0.015418436706859535
taux_rafraichissement,0.014028450392332177
os_platform_webOS,0.012446411103458033
marque_LG,0.01123413055553945
has_bluetooth,0.004811869838597764
hdr,0.0044615218667940874
os_platform_Tizen,0.004266460905144439
marque_SAMSUNG,0.004032057159468517
has_ethernet,0.003143361759979185
has_wifi,0.0029415437059552695
os_platform_Google TV,0.002888624054097047
marque_TCL,0.0022942952798030323
marque_TELEFUNKEN,0.0022329217230824413
os_platform_Autre,0.0021116038161582487
marque_VEGA,0.001471586199200467
marque_THOMSON,0.0012176273961119408
marque_MAXWELL,0.0009079613727086856
technologie_dalle_QLED,0.0008655504749887718
technologie_dalle_Mini-LED,0.0008516774355325278
marque_IRIS,0.0007597694036936912
has_wifi6,0.0007445521655745053
technologie_dalle_OLED,0.0006087313471772409
smart_tv,0.0004245206532326938
marque_HISENSE,0.0003738886692270532
technologie_dalle_QNED,0.00026128306046928367
os_platform_Inconnu,0.00019283791952078128
marque_BIOLUX,0.00013758839725695155
marque_ECOSAT,9.843279209947574e-05
marque_IFFALCON,5.769598924246933e-05
has_4g,5.464076932097144e-05
marque_HAIER,2.4449110767504512e-05
resolution_affichage_HD Ready,2.444677756540215e-05
os_platform_VIDAA,1.3899389116372679e-05
marque_ETERNAL,2.0856547162156398e-07
