feature,importance
taille_ecran,0.7813705578707484
resolution_affichage_Full HD,0.1036059103870575
taux_rafraichissement,0.028320847597186852
marque_LG,0.01916342689480989
os_platform_webOS,0.014655399244627632
technologie_dalle_OLED,0.005808787478519272
os_platform_Google TV,0.00557674061179123
has_wifi6,0.0052525432952459285
marque_SAMSUNG,0.004459900952117273
os_platform_Tizen,0.004310041162069339
marque_TCL,0.004072753441679414
marque_IRIS,0.0037775010926405024
marque_VEGA,0.003042192674437646
marque_TELEFUNKEN,0.002468877773360117
has_ethernet,0.002172175483463515
marque_THOMSON,0.0019057872990522649
technologie_dalle_QLED,0.0018002810626619183
marque_MAXWELL,0.0017117398895181652
technologie_dalle_QNED,0.0017060830460794154
has_bluetooth,0.0013374481947846099
technologie_dalle_Mini-LED,0.0010478988054357901
marque_HISENSE,0.0005875093912462745
has_wifi,0.0004651926943515228
smart_tv,0.000271800566549258
os_platform_Inconnu,0.0002525165478020364
has_4g,0.00024728547914719905
marque_BIOLUX,0.00021693839848818404
marque_ECOSAT,0.0002034369300322011
hdr,9.946277409471003e-05
os_platform_VIDAA,3.158524201096354e-05
marque_HAIER,2.972779633530354e-05
marque_IFFALCON,1.445062591029047e-05
os_platform_Autre,1.319929674546168e-05
