feature,coefficient
technologie_dalle_OLED,0.7118170078759294
os_platform_Inconnu,0.2554455140038948
marque_VEGA,-0.22360486815022104
resolution_affichage_Full HD,-0.2188628634342998
technologie_dalle_QNED,0.21012601912178105
marque_LG,0.1967042199863172
os_platform_webOS,0.19670421998631682
marque_BIOLUX,-0.17734080968185653
os_platform_VIDAA,0.17531236954689663
marque_TCL,0.16595694877798975
marque_THOMSON,0.15956436056078135
marque_MAXWELL,-0.14535226708649432
os_platform_Autre,0.10215395471944214
os_platform_Tizen,0.09458825120233662
marque_SAMSUNG,0.09458825120233605
technologie_dalle_Mini-LED,0.0901024648622237
has_bluetooth,-0.0850792323437124
os_platform_Google TV,-0.07480060542189068
marque_IRIS,-0.07270497639819157
has_wifi,0.07042394495528365
technologie_dalle_QLED,0.06815898920294347
marque_HAIER,0.06529063677180741
smart_tv,0.06424116893817695
marque_ECOSAT,-0.06424116893817489
has_4g,-0.06424116893817373
marque_TELEFUNKEN,-0.054764544711072616
has_ethernet,0.05443899960203617
hdr,0.042013095481140475
taille_ecran,0.035625461521500604
marque_HISENSE,0.034538103443139415
has_wifi6,0.016403552304225
marque_IFFALCON,0.0120667585779506
taux_rafraichissement,0.002027178092851248
