nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
Téléphone Portable EVERTEK E3218 - Rouge,https://www.mytek.tn/telephone-portable-evertek-e3218-rouge.html,38.0,EVERTEK,0.03125,32.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Bleu,https://www.mytek.tn/telephone-portable-evertek-e3218-bleu.html,38.0,EVERTEK,0.03125,32.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Bleu Marine,https://www.mytek.tn/telephone-portable-evertek-e3218-bleu-marine.html,38.0,EVERTEK,0.03125,32.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Vert,https://www.mytek.tn/telephone-portable-evertek-e3218-vert.html,38.0,EVERTEK,0.03125,32.0,1.77,Autres,1
Téléphone Portable EVERTEK E3218 - Noir,https://www.mytek.tn/telephone-portable-evertek-e3218-noir.html,38.0,EVERTEK,0.03125,32.0,1.77,Autres,1
Téléphone Portable EVERTEK E3224 - Bleu foncé,https://www.mytek.tn/telephone-portable-evertek-e3224-bleu-fonce.html,49.0,EVERTEK,0.0234375,32.0,2.4,Autres,1
Téléphone Portable ITEL it2165 - Noir,https://www.mytek.tn/telephone-portable-itel-it2165-noir.html,35.0,ITEL,12.8046875,32.0,1.8,Autres,0
Téléphone Portable ITEL it2165 - Bleu Cité,https://www.mytek.tn/telephone-portable-itel-it2165-bleu-cite.html,35.0,ITEL,12.8046875,32.0,1.8,Autres,0
"Téléphone Portable JOYTEL 2100 2.4"" LCD 2500mAh - Noir",https://www.mytek.tn/telephone-portable-joytel-2100-2-4-lcd-2500mah-noir.html,49.0,JOYTEL,0.03125,32.0,2.4,Autres,1
Téléphone Portable Maxfone 16 Max - Noir,https://www.mytek.tn/telephone-portable-maxfone-16-max-noir.html,79.9,MAXFONE,0.03125,32.0,2.4,Autres,1
Téléphone Portable Maxfone 16 Max - Gold,https://www.mytek.tn/telephone-portable-maxfone-16-max-gold.html,79.9,MAXFONE,0.03125,32.0,2.4,Autres,1
Téléphone Portable NOKIA 105 CRAZY 5 - Noir,https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-noir.html,59.0,NOKIA,0.00390625,32.0,1.77,Inconnu,0
Téléphone Portable NOKIA 105 CRAZY 5 - Bleu,https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-bleuu.html,59.0,NOKIA,0.00390625,32.0,1.77,Inconnu,0
"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Noir",https://www.mytek.tn/telephone-portable-philips-e2106-noir.html,45.9,PHILIPS,0.02578125,32.0,2.0,Autres,0
"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Deep Blue",https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-deep-blue.html,45.9,PHILIPS,0.02578125,32.0,2.0,Autres,0
"Téléphone Portable PHILIPS Fun 100 Dual SIM 2"" 1000 mAh - Bleu",https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-bleu.html,45.9,PHILIPS,0.00390625,32.0,2.0,Autres,0
"Téléphone portable PHILIPS FUN101 2"" 1500 mAh - Deep Bleu",https://www.mytek.tn/telephone-portable-philips-e2130-deep-bleu.html,56.9,PHILIPS,0.00390625,32.0,2.0,Autres,0
"Téléphone portable PHILIPS FUN101 2"" 1500 mAh - Noir",https://www.mytek.tn/telephone-portable-philips-fun101-2-1500-mah-noir.html,56.9,PHILIPS,0.00390625,32.0,2.0,Autres,0
Téléphone Portable SMARTEC V2 - Noir,https://www.mytek.tn/telephone-portable-smartec-v2-noir.html,39.0,SMARTEC,0.02578125,32.0,2.0,Inconnu,1
Téléphone Portable SMARTEC V2 - Blanc,https://www.mytek.tn/telephone-portable-smartec-v2-blanc.html,39.0,SMARTEC,0.02578125,32.0,2.0,Inconnu,1
"Téléphone Portable Smartec V1 Double SIM 2"" - Bleu",https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-2-bleu.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1
Téléphone Portable SMARTEC V2 - Bleu,https://www.mytek.tn/telephone-portable-smartec-v2-bleu.html,39.0,SMARTEC,0.03125,32.0,2.0,Inconnu,1
"Téléphone Portable SMARTEC V1 Écran 2"" LCD 800 mAh - Noir",https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1
Téléphone Portable SMARTEC V2 - Rose,https://www.mytek.tn/telephone-portable-smartec-v2-rose.html,39.0,SMARTEC,0.03125,32.0,2.0,Inconnu,1
Téléphone Portable SMARTEC V1 Double SIM 800mAh - bleu foncé,https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1
Téléphone Portable SMARTEC V1 Écran 2.0” 800mAh - Gris,https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1
Téléphone Portable SMARTEC POWER X1 1400 mAh - Noir,https://www.mytek.tn/telephone-portable-smartec-power-x1-1400-mah-noir.html,59.0,SMARTEC,0.03125,32.0,1.4,Autres,1
Téléphone Portable SMARTEC POWER X1 Double SIM 1400 mAh - bleu,https://www.mytek.tn/telephone-portable-smartec-power-x1-double-sim-1400-mah-bleu.html,59.0,SMARTEC,0.03125,32.0,1.4,Autres,1
Téléphone Portable SMARTEC F1 FLIP - Noir,https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,85.0,SMARTEC,0.02421875,32.0,2.4,Inconnu,0
Téléphone Portable SMARTEC F1 FLIP - Bleu,https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,85.0,SMARTEC,0.02421875,32.0,2.4,Autres,0
Téléphone Portable SMARTEC F1 FLIP - Gris,https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,85.0,SMARTEC,0.02421875,32.0,2.4,Autres,0
Téléphone Portable SMARTEC F1 FLIP - Rouge,https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,85.0,SMARTEC,0.02421875,32.0,2.4,Inconnu,0
TÉLÉPHONE PORTABLE UNIWA E1803 - ice bleu,https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0
TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0
TÉLÉPHONE PORTABLE UNIWA E1803 - Gris,https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0
TÉLÉPHONE PORTABLE UNIWA E1803 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0
Téléphone Portable UNIWA E1801 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,37.9,UNIWA,16.0,32.0,1.77,Autres,0
Téléphone Portable UNIWA E1801 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,37.9,UNIWA,0.03125,32.0,1.77,Inconnu,0
Téléphone Portable UNIWA E1802 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,49.0,UNIWA,0.02421875,32.0,2.4,Autres,0
Téléphone Portable UNIWA E1802 - Gold,https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,49.0,UNIWA,0.02421875,32.0,2.4,Autres,0
Téléphone Portable UNIWA E1802 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,49.0,UNIWA,0.02421875,32.0,2.4,Autres,0
Téléphone Portable X-TIGI Kids1 - Rose,https://www.mytek.tn/telephone-portable-x-tigi-kids1-rose.html,69.9,X-TIGI,0.0625,32.0,2.0,Autres,1
Téléphone Portable X-TIGI Kids1 - Bleu,https://www.mytek.tn/telephone-portable-x-tigi-kids1-bleu.html,69.9,X-TIGI,0.0625,32.0,2.0,Sans Système,1
Téléphone Portable X-TIGI Kids1 - Violet,https://www.mytek.tn/telephone-portable-x-tigi-kids1-violet.html,69.9,X-TIGI,0.0625,32.0,2.0,Autres,1
Téléphone Portable X-TIGI Kids1 - Vert,https://www.mytek.tn/telephone-portable-x-tigi-kids1-vert.html,69.9,X-TIGI,0.02578125,32.0,2.0,Sans Système,1
