url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-gris.html,35.9,Téléphone Portable AMI C14 Style 3 - Noir Gris,AMI,16.0,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-style-3-bleu-champagne.html,35.9,Téléphone Portable AMI C14 Style 3 - Bleu Champagne,AMI,16.0,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-vert.html,35.9,Téléphone Portable AMI C14 Style 3 - Noir Vert,AMI,16.0,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-style-4-bleu-noir.html,35.9,Téléphone Portable AMI C14 Style 4 -Bleu Noir,AMI,16.0,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-style-4-noir.html,35.9,Téléphone Portable AMI C14 Style 4 - Noir,AMI,16.0,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-style-4-vert-noir.html,35.9,Téléphone Portable AMI C14 Style 4 - Vert Noir,AMI,16.0,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-noir.html,39.9,Téléphone Portable AMI C14 FASHION 1- Couleur Noir,AMI,0.0203125,32.0,1.8,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-vert.html,39.9,Téléphone Portable AMI C14 FASHION 1- Couleur Vert,AMI,0.0203125,32.0,1.8,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-marron-fonce.html,39.9,Téléphone Portable AMI C14 FASHION 2- Marron Foncé,AMI,0.0203125,32.0,1.8,Autres,1
https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-bleu-noir.html,39.9,Téléphone Portable AMI C14 FASHION 2- Bleu Noir,AMI,0.0203125,32.0,1.8,Autres,1
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-orange.html,79.9,Téléphone Portable AMI F35 Strong 2  - Noir Champagne,AMI,51.2109375,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-gris.html,79.9,Téléphone Portable AMI F35 Strong 2 - Noir Gris,AMI,51.2109375,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-vert-silver.html,79.9,Téléphone Portable AMI F35 Strong 2  - Vert Silver,AMI,51.2109375,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-noir.html,79.9,Téléphone Portable AMI D20 Strong 1 - Couleur Noir,AMI,51.2109375,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-bleu.html,79.9,Téléphone Portable AMI D20 Strong 1- Couleur Bleu,AMI,51.2109375,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-vert.html,79.9,Téléphone Portable AMI D20 Strong 1- Couleur Vert,AMI,51.2109375,16.0,2.4,Autres,1
https://www.mytek.tn/telephone-portable-clever-c4-gold.html,32.9,Téléphone Portable Clever C4 - Gold,CLEVER,16.0,19.2,1.77,Sans Système,1
https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,32.9,Téléphone Portable Clever C4 -Blanc,CLEVER,16.0,19.2,1.77,Sans Système,1
https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,Téléphone Portable Clever C4 - Purple,CLEVER,16.0,19.2,1.77,Sans Système,1
https://www.mytek.tn/telephone-portable-clever-c4-vert.html,32.9,Téléphone Portable Clever C4 - Vert,CLEVER,16.0,19.2,1.77,Sans Système,1
https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,32.9,Téléphone Portable Clever C4 - Bleu,CLEVER,16.0,19.2,1.77,Sans Système,1
https://www.mytek.tn/telephone-portable-clever-f10-noir.html,89.0,Téléphone Portable Clever F10 - Noir,CLEVER,51.215625,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-clever-f10-rose.html,89.0,Téléphone Portable Clever F10 - Rose,CLEVER,51.215625,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-clever-f10-vert.html,89.0,Téléphone Portable Clever F10 - Vert,CLEVER,51.215625,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-clever-f10-violet.html,89.0,Téléphone Portable Clever F10 - Violet,CLEVER,51.215625,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-clever-f10-blanc.html,89.0,Téléphone Portable Clever F10 - Blanc,CLEVER,51.215625,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-clever-f10-gold.html,89.0,Téléphone Portable Clever F10 - Gold,CLEVER,51.215625,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-clever-f10-bleu.html,89.0,Téléphone Portable Clever F10 - Bleu,CLEVER,256.0,16.0,2.4,Sans Système,0
https://www.mytek.tn/telephone-portable-evertek-e3218-bleu.html,38.0,Téléphone Portable EVERTEK E3218 - Bleu,EVERTEK,0.03125,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-evertek-e3218-bleu-marine.html,38.0,Téléphone Portable EVERTEK E3218 - Bleu Marine,EVERTEK,0.03125,32.0,1.77,Autres,1
https://www.mytek.tn/telephone-portable-itel-it2165-noir.html,35.0,Téléphone Portable ITEL it2165 - Noir,ITEL,0.0203125,32.0,1.8,Autres,0
