feature,coefficient,std_err,p_value,pct_effect
const,2.8863518115132405,0.27949730614181645,5.323187100968726e-25,
taille_ecran,0.6917869831943922,0.12966315521419194,9.540637762310461e-08,69.17869831943922
marque_ITEL,-0.5658567961410994,0.0737359551214155,1.665893247264845e-14,-43.212661346603795
marque_UNIWA,-0.5191584217245394,0.08342719637546481,4.880737861897862e-10,-40.49789058574695
os_platform_S30+,0.4117888957775785,0.09743981932731763,2.37792883270557e-05,50.951573754459154
has_bluetooth,-0.3958398532180532,0.056665834116174825,2.8381939251415387e-12,-32.68855155752712
marque_X-TIGI,0.37817922952299793,0.04599322882031067,1.9930771683153733e-16,45.96245272410493
marque_PHILIPS,-0.30811840254312856,0.09273115100735968,0.0008914864463004171,-26.517169268232244
marque_JOYTEL,-0.25375890146596386,0.07962091788193051,0.0014371285807190668,-22.41211572504731
marque_NOKIA,0.23931210286296567,0.091130525954085,0.008638551052652757,27.03749623806044
marque_MAXFONE,0.2332303287694867,0.07967614435448118,0.003419968473172504,26.267227558810458
os_platform_Inconnu,-0.17716949864370116,0.10952283079209998,0.10573826090806851,-16.236220598026417
marque_CLEVER,-0.1707094459545549,0.053512873405544295,0.001422417040792514,-15.693350573097831
marque_EVERTEK,-0.07588481787572161,0.04691249799947158,0.10575268537496585,-7.30770346328955
marque_SMARTEC,0.022557033252214684,0.13221518443053204,0.864531620079096,2.2813366873699614
ram_go,0.0007044293740536633,0.00041796811508589395,0.0919179220849993,0.07044293740536632
stockage_go,-0.00016386036884607003,8.399473190205916e-05,0.051075959978423846,-0.016386036884607002
os_platform_Sans Système,1.4216999089101574e-05,1.3485670722599931e-05,0.29177761311264705,0.0014217100151148188
