feature,coefficient
taille_ecran,0.6917870675669133
marque_ITEL,-0.5658378313072129
marque_UNIWA,-0.5191413506596062
os_platform_S30+,0.4117825985482147
has_bluetooth,-0.3958259125879696
marque_X-TIGI,0.37818477532417594
marque_PHILIPS,-0.30810032482271366
marque_JOYTEL,-0.25375488537659646
marque_NOKIA,0.23931926857869198
marque_MAXFONE,0.23323229305704454
os_platform_Inconnu,-0.17716411436953325
marque_CLEVER,-0.17069557489069875
marque_EVERTEK,-0.07588160640782725
marque_SMARTEC,0.02256065607756919
ram_go,0.0007044895873767327
stockage_go,-0.00016385900107333728
os_platform_Sans Système,8.004220653525335e-06
