feature,importance
taille_ecran,0.7018648508638926
marque_X-TIGI,0.07608266006929516
marque_UNIWA,0.06505869715687505
ram_go,0.06153580331117437
marque_NOKIA,0.03372291523218593
os_platform_S30+,0.02416710554638932
has_bluetooth,0.009642907458694134
marque_JOYTEL,0.008993682061470967
marque_PHILIPS,0.006413176033517101
os_platform_Sans Système,0.003904230358824004
marque_CLEVER,0.003502230367569956
os_platform_Inconnu,0.0016864810442306364
marque_ITEL,0.001361944339215649
marque_SMARTEC,0.0010090563833336495
stockage_go,0.0006401519814456628
marque_EVERTEK,0.00041410779188401256
marque_MAXFONE,1.657968033568906e-15
