marque,n,n_gammes_planifie,n_gammes_effectif
AMI,64,3,1
SMARTEC,54,3,2
CLEVER,42,3,1
UNIWA,36,3,2
PHILIPS,26,3,2
NOKIA,25,3,3
EVERTEK,20,3,2
X-TIGI,12,2,0
MAXFONE,8,1,1
ITEL,6,1,1
