categorie,marque,gamme,cluster,semaine_t,semaine_t1,n_produits_t,n_produits_t1,delta_prix_reel_pct,delta_estime_hedonic_pct,delta_estime_ridge_pct,delta_estime_rf_pct,ecart_residuel_pct,classification,cause_principale,accord_modeles,fiabilite_limitee,composition_stable,bootstrap_possible,ecart_residuel_ic_bas,ecart_residuel_ic_haut,ecart_residuel_p_value,ecart_residuel_significatif
pc_bureau,HP,Premium,c0,3,4,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-28.97,19.56,0.988,False
pc_bureau,HP,Économique,c0,1,2,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-10.18,13.35,0.996,False
pc_bureau,HP,Économique,c0,2,3,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-9.71,13.47,0.982,False
pc_bureau,HP,Économique,c0,3,4,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-9.78,13.74,0.952,False
pc_bureau,LENOVO,Milieu de gamme,c0,1,2,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-21.18,18.84,0.96,False
pc_bureau,LENOVO,Milieu de gamme,c0,2,3,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-21.75,20.7,0.938,False
pc_bureau,LENOVO,Milieu de gamme,c0,3,4,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-23.11,20.43,0.966,False
pc_bureau,LENOVO,Premium,c0,1,2,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-16.75,13.79,0.938,False
pc_bureau,LENOVO,Premium,c0,2,3,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-17.59,14.19,0.988,False
pc_bureau,LENOVO,Premium,c0,3,4,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-18.07,15.69,1.0,False
