categorie,marque,gamme,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
pc_bureau,LENOVO,Économique,c0,1,1583.69,1877.12,1871.37,1784.36,18.53,18.17,12.67,7,categorie,categorie,categorie
pc_bureau,LENOVO,Économique,c0,2,1583.69,1877.12,1871.37,1784.36,18.53,18.17,12.67,7,categorie,categorie,categorie
pc_bureau,LENOVO,Économique,c0,3,1603.66,1848.65,1841.32,1842.73,15.28,14.82,14.91,6,categorie,categorie,categorie
pc_bureau,LENOVO,Économique,c0,4,1603.66,1848.65,1841.32,1842.73,15.28,14.82,14.91,6,categorie,categorie,categorie
pc_bureau,MSI,Milieu de gamme,c0,1,4100.05,4099.21,4138.73,4110.82,-0.02,0.94,0.26,25,n2,categorie,n2
pc_bureau,MSI,Milieu de gamme,c0,2,4068.6,4099.21,4138.73,4110.82,0.75,1.72,1.04,25,n2,categorie,n2
pc_bureau,MSI,Milieu de gamme,c0,3,4068.6,4099.21,4138.73,4110.82,0.75,1.72,1.04,25,n2,categorie,n2
pc_bureau,MSI,Milieu de gamme,c0,4,4043.77,4099.21,4138.73,4110.82,1.37,2.35,1.66,25,n2,categorie,n2
pc_bureau,MSI,Premium,c0,1,7041.0,5221.58,5921.3,6068.83,-25.84,-15.9,-13.81,8,n1,n1,n1
pc_bureau,MSI,Premium,c0,2,7041.0,5221.58,5921.3,6068.83,-25.84,-15.9,-13.81,8,n1,n1,n1
pc_bureau,MSI,Premium,c0,3,7041.0,5221.58,5921.3,6068.83,-25.84,-15.9,-13.81,8,n1,n1,n1
pc_bureau,MSI,Premium,c0,4,7041.0,5221.58,5921.3,6068.83,-25.84,-15.9,-13.81,8,n1,n1,n1
pc_bureau,MSI,Premium,c1,1,5289.37,5291.71,5305.77,5297.35,0.04,0.31,0.15,19,n2,n2,n2
pc_bureau,MSI,Premium,c1,2,5289.37,5291.71,5305.77,5297.35,0.04,0.31,0.15,19,n2,n2,n2
pc_bureau,MSI,Premium,c1,3,5289.37,5291.71,5305.77,5297.35,0.04,0.31,0.15,19,n2,n2,n2
pc_bureau,MSI,Premium,c1,4,5249.67,5291.71,5305.77,5297.35,0.8,1.07,0.91,19,n2,n2,n2
pc_bureau,MSI,Économique,c0,1,3150.89,3127.07,3133.14,3121.17,-0.76,-0.56,-0.94,15,n2,n2,n2
pc_bureau,MSI,Économique,c0,2,3150.89,3127.07,3133.14,3121.17,-0.76,-0.56,-0.94,15,n2,n2,n2
