categorie,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
telephones_portables,3,2,89.0,83.93,83.93,89.0,-5.7,-5.7,0.0,7,categorie,categorie,categorie
telephones_portables,3,3,89.0,83.93,83.93,89.0,-5.7,-5.7,0.0,7,categorie,categorie,categorie
telephones_portables,3,4,89.0,83.93,83.93,89.0,-5.7,-5.7,0.0,7,categorie,categorie,categorie
telephones_portables,4,1,50.68,50.94,50.94,50.55,0.51,0.51,-0.26,9,categorie,categorie,categorie
telephones_portables,4,2,49.72,49.02,49.02,49.74,-1.41,-1.41,0.04,8,categorie,categorie,categorie
telephones_portables,4,3,50.68,51.38,51.38,50.72,1.38,1.38,0.08,9,categorie,categorie,categorie
telephones_portables,4,4,50.68,51.38,51.38,50.72,1.38,1.38,0.08,9,categorie,categorie,categorie
telephones_portables,5,2,130.82,127.94,127.94,104.16,-2.2,-2.2,-20.38,4,categorie,categorie,categorie
telephones_portables,5,3,130.82,128.73,128.73,104.12,-1.6,-1.6,-20.41,4,categorie,categorie,categorie
telephones_portables,5,4,130.82,128.73,128.73,104.12,-1.6,-1.6,-20.41,4,categorie,categorie,categorie
televiseurs,0,1,2347.02,2400.0,2393.03,2387.04,2.26,1.96,1.71,95,n1,categorie,n1
televiseurs,0,2,2369.05,2422.87,2416.61,2397.74,2.27,2.01,1.21,94,n1,categorie,n1
televiseurs,0,3,2369.05,2422.87,2416.61,2397.74,2.27,2.01,1.21,94,n1,categorie,n1
televiseurs,0,4,2348.08,2396.48,2394.36,2370.94,2.06,1.97,0.97,93,n1,categorie,n1
televiseurs,1,1,559.39,556.68,555.54,547.03,-0.48,-0.69,-2.21,14,categorie,categorie,categorie
televiseurs,1,2,561.07,557.72,556.36,547.03,-0.6,-0.84,-2.5,14,categorie,categorie,categorie
televiseurs,1,3,561.07,557.72,556.36,547.03,-0.6,-0.84,-2.5,14,categorie,categorie,categorie
televiseurs,1,4,560.0,556.68,555.54,547.03,-0.59,-0.8,-2.32,14,categorie,categorie,categorie
