categorie,approche,cluster,marque,gamme_prix,semaine,n_produits,prix_geometrique_tnd
pc_bureau,N2_marque_gamme,DELL::Économique::c1,DELL,Économique,2,4,1599.1
pc_bureau,N2_marque_gamme,DELL::Économique::c1,DELL,Économique,3,4,1599.1
pc_bureau,N2_marque_gamme,DELL::Économique::c1,DELL,Économique,4,4,1599.1
pc_bureau,N2_marque_gamme,DELL::Économique::c2,DELL,Économique,1,1,1855.0
pc_bureau,N2_marque_gamme,DELL::Économique::c2,DELL,Économique,2,2,1857.0
pc_bureau,N2_marque_gamme,DELL::Économique::c2,DELL,Économique,3,2,1857.0
pc_bureau,N2_marque_gamme,DELL::Économique::c2,DELL,Économique,4,2,1857.0
pc_bureau,N2_marque_gamme,HP::Milieu de gamme::c0,HP,Milieu de gamme,1,6,3086.41
pc_bureau,N2_marque_gamme,HP::Milieu de gamme::c0,HP,Milieu de gamme,2,5,3136.21
pc_bureau,N2_marque_gamme,HP::Milieu de gamme::c0,HP,Milieu de gamme,3,4,3133.02
pc_bureau,N2_marque_gamme,HP::Milieu de gamme::c0,HP,Milieu de gamme,4,4,3133.02
pc_bureau,N2_marque_gamme,HP::Premium::c0,HP,Premium,1,1,3619.0
pc_bureau,N2_marque_gamme,HP::Premium::c0,HP,Premium,2,1,3619.0
pc_bureau,N2_marque_gamme,HP::Premium::c0,HP,Premium,3,1,3619.0
pc_bureau,N2_marque_gamme,HP::Premium::c0,HP,Premium,4,2,3643.91
pc_bureau,N2_marque_gamme,HP::Premium::c1,HP,Premium,1,4,3861.42
pc_bureau,N2_marque_gamme,HP::Premium::c1,HP,Premium,2,4,3861.42
pc_bureau,N2_marque_gamme,HP::Premium::c1,HP,Premium,3,4,3861.42
pc_bureau,N2_marque_gamme,HP::Premium::c1,HP,Premium,4,4,3861.42
pc_bureau,N2_marque_gamme,HP::Économique::c0,HP,Économique,1,5,2559.2
pc_bureau,N2_marque_gamme,HP::Économique::c0,HP,Économique,2,5,2559.2
pc_bureau,N2_marque_gamme,HP::Économique::c0,HP,Économique,3,5,2559.2
pc_bureau,N2_marque_gamme,HP::Économique::c0,HP,Économique,4,5,2559.2
pc_bureau,N2_marque_gamme,HP::Économique::c1,HP,Économique,1,2,1573.3
pc_bureau,N2_marque_gamme,HP::Économique::c1,HP,Économique,2,2,1573.3
pc_bureau,N2_marque_gamme,HP::Économique::c1,HP,Économique,3,2,1573.3
pc_bureau,N2_marque_gamme,HP::Économique::c1,HP,Économique,4,2,1573.3
pc_bureau,N2_marque_gamme,LENOVO::Milieu de gamme::c0,LENOVO,Milieu de gamme,1,5,2359.94
pc_bureau,N2_marque_gamme,LENOVO::Milieu de gamme::c0,LENOVO,Milieu de gamme,2,8,2280.78
pc_bureau,N2_marque_gamme,LENOVO::Milieu de gamme::c0,LENOVO,Milieu de gamme,3,8,2280.78
pc_bureau,N2_marque_gamme,LENOVO::Milieu de gamme::c0,LENOVO,Milieu de gamme,4,8,2280.78
pc_bureau,N2_marque_gamme,LENOVO::Premium::c0,LENOVO,Premium,1,7,3169.4
pc_bureau,N2_marque_gamme,LENOVO::Premium::c0,LENOVO,Premium,2,7,3169.4
pc_bureau,N2_marque_gamme,LENOVO::Premium::c0,LENOVO,Premium,3,7,3169.4
pc_bureau,N2_marque_gamme,LENOVO::Premium::c0,LENOVO,Premium,4,7,3169.4
pc_bureau,N2_marque_gamme,LENOVO::Économique::c0,LENOVO,Économique,1,4,1523.93
pc_bureau,N2_marque_gamme,LENOVO::Économique::c0,LENOVO,Économique,2,4,1523.93
pc_bureau,N2_marque_gamme,LENOVO::Économique::c0,LENOVO,Économique,3,3,1542.7
pc_bureau,N2_marque_gamme,LENOVO::Économique::c0,LENOVO,Économique,4,3,1542.7
pc_bureau,N2_marque_gamme,LENOVO::Économique::c1,LENOVO,Économique,1,4,1731.22
pc_bureau,N2_marque_gamme,LENOVO::Économique::c1,LENOVO,Économique,2,4,1731.22
pc_bureau,N2_marque_gamme,LENOVO::Économique::c1,LENOVO,Économique,3,4,1731.22
pc_bureau,N2_marque_gamme,LENOVO::Économique::c1,LENOVO,Économique,4,4,1731.22
pc_bureau,N2_marque_gamme,MSI::Milieu de gamme::c0,MSI,Milieu de gamme,1,28,4031.0
pc_bureau,N2_marque_gamme,MSI::Milieu de gamme::c0,MSI,Milieu de gamme,2,25,4081.12
pc_bureau,N2_marque_gamme,MSI::Milieu de gamme::c0,MSI,Milieu de gamme,3,25,4081.12
pc_bureau,N2_marque_gamme,MSI::Milieu de gamme::c0,MSI,Milieu de gamme,4,26,4060.12
pc_bureau,N2_marque_gamme,MSI::Premium::c0,MSI,Premium,1,12,5705.25
pc_bureau,N2_marque_gamme,MSI::Premium::c0,MSI,Premium,2,12,5705.25
pc_bureau,N2_marque_gamme,MSI::Premium::c0,MSI,Premium,3,12,5705.25
pc_bureau,N2_marque_gamme,MSI::Premium::c0,MSI,Premium,4,11,5795.68
pc_bureau,N2_marque_gamme,MSI::Premium::c1,MSI,Premium,1,11,5352.21
pc_bureau,N2_marque_gamme,MSI::Premium::c1,MSI,Premium,2,11,5352.21
pc_bureau,N2_marque_gamme,MSI::Premium::c1,MSI,Premium,3,11,5352.21
pc_bureau,N2_marque_gamme,MSI::Premium::c1,MSI,Premium,4,11,5352.21
pc_bureau,N2_marque_gamme,MSI::Premium::c2,MSI,Premium,1,4,7230.08
pc_bureau,N2_marque_gamme,MSI::Premium::c2,MSI,Premium,2,4,7230.08
pc_bureau,N2_marque_gamme,MSI::Premium::c2,MSI,Premium,3,4,7230.08
pc_bureau,N2_marque_gamme,MSI::Premium::c2,MSI,Premium,4,4,7230.08
pc_bureau,N2_marque_gamme,MSI::Économique::c0,MSI,Économique,1,8,3171.86
pc_bureau,N2_marque_gamme,MSI::Économique::c0,MSI,Économique,2,9,3204.6
pc_bureau,N2_marque_gamme,MSI::Économique::c0,MSI,Économique,3,9,3204.6
pc_bureau,N2_marque_gamme,MSI::Économique::c0,MSI,Économique,4,9,3204.6
pc_bureau,N2_marque_gamme,MSI::Économique::c1,MSI,Économique,1,4,2851.35
pc_bureau,N2_marque_gamme,MSI::Économique::c1,MSI,Économique,2,5,2917.72
pc_bureau,N2_marque_gamme,MSI::Économique::c1,MSI,Économique,3,5,2917.72
pc_bureau,N2_marque_gamme,MSI::Économique::c1,MSI,Économique,4,5,2917.72
pc_bureau,N2_marque_gamme,MSI::Économique::c2,MSI,Économique,1,2,2797.21
pc_bureau,N2_marque_gamme,MSI::Économique::c2,MSI,Économique,2,2,2797.21
pc_bureau,N2_marque_gamme,MSI::Économique::c2,MSI,Économique,3,2,2797.21
pc_bureau,N2_marque_gamme,MSI::Économique::c2,MSI,Économique,4,2,2797.21
pc_bureau,N2_marque_gamme,MSI::Économique::c3,MSI,Économique,1,3,2957.64
pc_bureau,N2_marque_gamme,MSI::Économique::c3,MSI,Économique,2,3,2957.64
pc_bureau,N2_marque_gamme,MSI::Économique::c3,MSI,Économique,3,3,2957.64
pc_bureau,N2_marque_gamme,MSI::Économique::c3,MSI,Économique,4,3,2957.64
pc_bureau,N2_marque_gamme,MSI::Économique::c4,MSI,Économique,1,4,2319.46
pc_bureau,N2_marque_gamme,MSI::Économique::c4,MSI,Économique,2,3,2287.2
pc_bureau,N2_marque_gamme,MSI::Économique::c4,MSI,Économique,3,1,2559.0
pc_bureau,N2_marque_gamme,MSI::Économique::c4,MSI,Économique,4,1,2559.0
pc_bureau,N2_marque_gamme,MSI::Économique::c5,MSI,Économique,1,2,3392.67
pc_bureau,N2_marque_gamme,MSI::Économique::c5,MSI,Économique,2,2,3392.67
pc_bureau,N2_marque_gamme,MSI::Économique::c5,MSI,Économique,3,2,3392.67
pc_bureau,N2_marque_gamme,MSI::Économique::c5,MSI,Économique,4,2,3392.67
pc_bureau,N2_marque_gamme,MSI::Économique::c6,MSI,Économique,1,4,2919.03
pc_bureau,N2_marque_gamme,MSI::Économique::c6,MSI,Économique,2,5,2984.06
pc_bureau,N2_marque_gamme,MSI::Économique::c6,MSI,Économique,3,5,2931.52
pc_bureau,N2_marque_gamme,MSI::Économique::c6,MSI,Économique,4,5,2931.52
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c0,MYTEK,Milieu de gamme,1,9,2879.42
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c0,MYTEK,Milieu de gamme,2,9,2809.44
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c0,MYTEK,Milieu de gamme,3,9,2809.44
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c0,MYTEK,Milieu de gamme,4,9,2773.44
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c1,MYTEK,Milieu de gamme,1,10,2997.36
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c1,MYTEK,Milieu de gamme,2,10,2997.36
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c1,MYTEK,Milieu de gamme,3,10,2997.36
pc_bureau,N2_marque_gamme,MYTEK::Milieu de gamme::c1,MYTEK,Milieu de gamme,4,12,2871.77
pc_bureau,N2_marque_gamme,MYTEK::Premium::c0,MYTEK,Premium,1,7,6847.33
pc_bureau,N2_marque_gamme,MYTEK::Premium::c0,MYTEK,Premium,2,7,6847.33
pc_bureau,N2_marque_gamme,MYTEK::Premium::c0,MYTEK,Premium,3,7,6847.33
pc_bureau,N2_marque_gamme,MYTEK::Premium::c0,MYTEK,Premium,4,7,6847.33
pc_bureau,N2_marque_gamme,MYTEK::Premium::c1,MYTEK,Premium,1,3,5358.93
pc_bureau,N2_marque_gamme,MYTEK::Premium::c1,MYTEK,Premium,2,3,5358.93
pc_bureau,N2_marque_gamme,MYTEK::Premium::c1,MYTEK,Premium,3,3,5358.93
pc_bureau,N2_marque_gamme,MYTEK::Premium::c1,MYTEK,Premium,4,2,5271.1
pc_bureau,N2_marque_gamme,MYTEK::Premium::c2,MYTEK,Premium,1,8,4794.96
pc_bureau,N2_marque_gamme,MYTEK::Premium::c2,MYTEK,Premium,2,9,4806.41
pc_bureau,N2_marque_gamme,MYTEK::Premium::c2,MYTEK,Premium,3,9,4806.41
pc_bureau,N2_marque_gamme,MYTEK::Premium::c2,MYTEK,Premium,4,9,4806.41
pc_bureau,N2_marque_gamme,MYTEK::Économique::c0,MYTEK,Économique,1,3,1632.75
pc_bureau,N2_marque_gamme,MYTEK::Économique::c0,MYTEK,Économique,2,3,1632.75
pc_bureau,N2_marque_gamme,MYTEK::Économique::c0,MYTEK,Économique,3,3,1632.75
pc_bureau,N2_marque_gamme,MYTEK::Économique::c0,MYTEK,Économique,4,5,1709.43
pc_bureau,N2_marque_gamme,MYTEK::Économique::c1,MYTEK,Économique,1,10,1326.25
pc_bureau,N2_marque_gamme,MYTEK::Économique::c1,MYTEK,Économique,2,12,1415.34
pc_bureau,N2_marque_gamme,MYTEK::Économique::c1,MYTEK,Économique,3,12,1415.34
pc_bureau,N2_marque_gamme,MYTEK::Économique::c1,MYTEK,Économique,4,9,1365.96
