feature,coefficient,std_err,p_value,pct_effect
const,4.989048875594015,0.807625591972481,6.515430758835845e-10,
marque_OSCAL,-0.8942716878957041,0.46547396655205914,0.05470565798111947,-59.1094699102235
has_5g,0.8276043353472659,0.13581016780991845,1.1023941016989665e-09,128.7831293286525
cpu_brand_Qualcomm,0.6750999859444778,0.11328769769078186,2.5353134477728942e-09,96.42293614796668
marque_TECNO,-0.5540040038759075,0.1494103861398398,0.0002089562512375113,-42.53556802196877
cpu_brand_Samsung Exynos,0.5071856419487957,0.13047345687560258,0.00010137769069955495,66.06110581432645
has_bluetooth,-0.49220036590013805,0.09760212630897629,4.584649793663603e-07,-38.87201260809569
marque_LESIA,-0.4585223736842978,0.14013207890402551,0.0010676205495860347,-36.778286366033775
marque_HUAWEI,-0.4526877991044983,0.11766319364098024,0.00011941761108930647,-36.40833636182242
marque_SAMSUNG,0.43734131528601383,0.12423333687655792,0.00043102362797782967,54.85845424405726
cpu_brand_MediaTek,0.3816903116695055,0.09828563055539671,0.00010297187133931219,46.47583963031887
has_4g,0.31001004033880375,0.11834520599944089,0.008804836004176227,36.343880345097986
marque_XIAOMI,0.12145273357526262,0.07056445949434613,0.08522177227018463,12.913599444232847
marque_VIVO,0.11223730563650314,0.09178798196247819,0.22140952074003484,11.877832154781597
marque_UNIWA,-0.10762186626187283,0.19496250115896385,0.5809393372588231,-10.203291610929465
marque_OPPO,0.09579550591406308,0.08560965039247904,0.26314857517411505,10.053398828946026
has_wifi,0.09555586555408752,0.08351295422531571,0.2525389985786979,10.02702875262762
taille_ecran,0.0866983776430444,0.1221233623660224,0.4777509023188935,8.66983776430444
marque_INFINIX,-0.07297948947710553,0.1018165048129276,0.4735131566044738,-7.0380103179566
ram_go,0.04596360936569333,0.010978810690481232,2.831959521770667e-05,4.596360936569333
has_wifi6,-0.034888286153376746,0.08261265344631534,0.6727975543397136,-3.42867062214689
stockage_go,0.0006837214583617513,0.00025776707275812293,0.007990336351855136,0.06837214583617512
os_platform_Autre,2.938852874077026e-16,9.582877083049911e-17,0.002163816004744671,2.220446049250313e-14
