marque,n,n_gammes_planifie,n_gammes_effectif
SAMSUNG,309,3,3
XIAOMI,213,3,3
HONOR,118,3,3
VIVO,91,3,3
INFINIX,85,3,3
OPPO,84,3,3
LESIA,54,3,3
OSCAL,28,3,3
TECNO,18,3,2
HUAWEI,8,1,1
