feature,ols_coefficient,ridge_coefficient,ols_ridge_signes_accordent,rf_importance
has_5g,0.8276043353472659,0.7835514904047308,True,0.42171018813274896
ram_go,0.04596360936569333,0.046215660718534654,True,0.2257081195971138
taille_ecran,0.0866983776430444,0.07994833741567399,True,0.14616665031105605
stockage_go,0.0006837214583617513,0.0006337797781443557,True,0.12367877621869665
cpu_brand_Samsung Exynos,0.5071856419487957,0.48480222894490754,True,0.029866943997737268
has_4g,0.31001004033880375,0.2767220272843622,True,0.019361911859496473
marque_SAMSUNG,0.43734131528601383,0.4147693845959201,True,0.011652536637668189
cpu_brand_MediaTek,0.3816903116695055,0.3296740640845452,True,0.004620119688364119
cpu_brand_Qualcomm,0.6750999859444778,0.6325773737411394,True,0.004194900506787736
marque_XIAOMI,0.12145273357526262,0.11773004805335513,True,0.003644266683633418
has_wifi,0.09555586555408752,0.09916418499319145,True,0.0017924203095119244
marque_OPPO,0.09579550591406308,0.09195581990547291,True,0.0015638486936214954
marque_OSCAL,-0.8942716878957041,-0.8574847413223564,True,0.0014500807129280914
marque_VIVO,0.11223730563650314,0.09451979857738825,True,0.0010875764916034065
marque_LESIA,-0.4585223736842978,-0.48846338072739554,True,0.0009492065189581307
has_bluetooth,-0.49220036590013805,-0.4397849464854597,True,0.0007434119660972203
marque_TECNO,-0.5540040038759075,-0.52262321538979,True,0.0006618034786242539
marque_INFINIX,-0.07297948947710553,-0.06502782993751288,True,0.0006534133099203254
has_wifi6,-0.034888286153376746,-0.03364315824962076,True,0.0004679460464591864
marque_HUAWEI,-0.4526877991044983,-0.4070195077853544,True,1.8052057922786853e-05
marque_UNIWA,-0.10762186626187283,-0.17653765996691892,True,7.826781050756892e-06
os_platform_Autre,2.938852874077026e-16,0.0,False,0.0
