feature,coefficient
marque_BMAX,-0.8004758285343223
cpu_serie_3.0,-0.3679014403338084
marque_GIGABYTE,-0.29925965904330026
os_platform_Freedos,0.2239868026187453
os_platform_Windows 11 Pro (Offert),0.1300930637348358
marque_MSI,0.0961840261943917
marque_DELL,-0.0883978898596629
cpu_serie_7.0,0.06220057406250609
marque_LENOVO,0.06069878450522182
cpu_serie_5.0,-0.049841635890963715
cpu_serie_9.0,-0.03692091548157183
os_platform_Windows 11 Pro,-0.03235466701170361
marque_CHUWI,-0.02618249122616574
ram_go,0.016206894327170106
os_platform_Windows 11,0.015761975230676285
os_platform_Windows 11 Famille,-0.013133602447434105
marque_HP,0.0070722543875523965
taille_ecran,0.005769938380852549
stockage_go,0.0012884325461820435
