feature,importance
stockage_go,0.4960299996360792
ram_go,0.16272381473630335
cpu_serie_3.0,0.11352139530415285
taille_ecran,0.10258358851600376
marque_MSI,0.025002085853558054
marque_LENOVO,0.021377633312401518
cpu_serie_7.0,0.01987583867513178
cpu_serie_5.0,0.016438717578857544
marque_DELL,0.012906765512340605
os_platform_Windows 11 Pro,0.010682205816335683
os_platform_Windows 11 Famille,0.007477281763298663
marque_HP,0.006906743652102632
marque_BMAX,0.0023286461930380315
marque_GIGABYTE,0.0015363519372316834
cpu_serie_9.0,0.000557960859958749
marque_CHUWI,3.933489915428886e-05
os_platform_Windows 11 Pro (Offert),1.1635754051562323e-05
os_platform_Freedos,3.394759857277621e-17
os_platform_Windows 11,0.0
