segment_col,segment,famille,n_lignes,n_produits_distincts,n_predicteurs,n_min_requis,ajuste,raison_rejet,n_test,r2_test,rmse_tnd_test,r2_test_categorie,rmse_tnd_test_categorie,comparaison_possible,retenu_pour_prediction
cluster_id,DELL::Premium::c0,ridge,40,10,6,30,True,,24,0.9089,334.93,-0.9158,1123.35,True,True
cluster_id,DELL::Premium::c0,random_forest,40,10,6,30,True,,24,0.5066,954.66,0.5817,684.88,True,False
cluster_id,DELL::Premium::c1,hedonic_ols,28,7,7,70,False,n_lignes=28 < n_min_requis=70 (ratio=10),4,,,,,False,False
cluster_id,DELL::Premium::c1,ridge,28,7,7,35,False,n_lignes=28 < n_min_requis=35 (ratio=5),4,,,,,False,False
cluster_id,DELL::Premium::c1,random_forest,28,7,7,35,False,n_lignes=28 < n_min_requis=35 (ratio=5),4,,,,,False,False
cluster_id,DELL::Économique::c0,hedonic_ols,16,4,4,40,False,n_lignes=16 < n_min_requis=40 (ratio=10),12,,,,,False,False
cluster_id,DELL::Économique::c0,ridge,16,4,4,20,False,n_lignes=16 < n_min_requis=20 (ratio=5),12,,,,,False,False
cluster_id,DELL::Économique::c0,random_forest,16,4,4,20,False,n_lignes=16 < n_min_requis=20 (ratio=5),12,,,,,False,False
cluster_id,DELL::Économique::c1,hedonic_ols,31,9,5,50,False,n_lignes=31 < n_min_requis=50 (ratio=10),8,,,,,False,False
cluster_id,DELL::Économique::c1,ridge,31,9,5,25,True,,8,-62.5667,116.16,-766.5704,462.66,True,True
cluster_id,DELL::Économique::c1,random_forest,31,9,5,25,True,,8,-21.1877,69.54,-1722.3433,732.57,True,True
cluster_id,DELL::Économique::c2,hedonic_ols,24,6,4,40,False,n_lignes=24 < n_min_requis=40 (ratio=10),4,,,,,False,False
cluster_id,DELL::Économique::c2,ridge,24,6,4,20,True,,4,0.0,0.2,0.0,592.8,True,False
cluster_id,DELL::Économique::c2,random_forest,24,6,4,20,True,,4,0.0,0.0,0.0,257.55,True,False
cluster_id,GIGABYTE::Milieu de gamme::c0,hedonic_ols,28,7,7,70,False,n_lignes=28 < n_min_requis=70 (ratio=10),0,,,,,False,False
cluster_id,GIGABYTE::Milieu de gamme::c0,ridge,28,7,7,35,False,n_lignes=28 < n_min_requis=35 (ratio=5),0,,,,,False,False
cluster_id,GIGABYTE::Milieu de gamme::c0,random_forest,28,7,7,35,False,n_lignes=28 < n_min_requis=35 (ratio=5),0,,,,,False,False
cluster_id,GIGABYTE::Premium::c0,hedonic_ols,16,4,7,70,False,n_lignes=16 < n_min_requis=70 (ratio=10),12,,,,,False,False
cluster_id,GIGABYTE::Premium::c0,ridge,16,4,7,35,False,n_lignes=16 < n_min_requis=35 (ratio=5),12,,,,,False,False
cluster_id,GIGABYTE::Premium::c0,random_forest,16,4,7,35,False,n_lignes=16 < n_min_requis=35 (ratio=5),12,,,,,False,False
cluster_id,GIGABYTE::Économique::c0,hedonic_ols,30,8,7,70,False,n_lignes=30 < n_min_requis=70 (ratio=10),0,,,,,False,False
cluster_id,GIGABYTE::Économique::c0,ridge,30,8,7,35,False,n_lignes=30 < n_min_requis=35 (ratio=5),0,,,,,False,False
cluster_id,GIGABYTE::Économique::c0,random_forest,30,8,7,35,False,n_lignes=30 < n_min_requis=35 (ratio=5),0,,,,,False,False
cluster_id,HP::Milieu de gamme::c0,hedonic_ols,100,27,9,90,True,,8,-374.7164,419.33,-115.0238,219.09,True,False
cluster_id,HP::Milieu de gamme::c0,ridge,100,27,9,45,True,,8,-173.536,278.33,-118.4334,225.7,True,False
cluster_id,HP::Milieu de gamme::c0,random_forest,100,27,9,45,True,,8,-127.0813,236.69,-78.5103,184.65,True,False
cluster_id,HP::Premium::c0,hedonic_ols,28,7,4,40,False,n_lignes=28 < n_min_requis=40 (ratio=10),8,,,,,False,False
cluster_id,HP::Premium::c0,ridge,28,7,4,20,True,,8,-0.0459,361.75,-13.9788,1163.0,True,True
cluster_id,HP::Premium::c0,random_forest,28,7,4,20,True,,8,-0.2493,385.47,-7.2323,911.99,True,True
cluster_id,HP::Premium::c1,hedonic_ols,40,12,7,70,False,n_lignes=40 < n_min_requis=70 (ratio=10),10,,,,,False,False
cluster_id,HP::Premium::c1,ridge,40,12,7,35,True,,10,0.0888,1292.75,0.8733,431.09,True,False
cluster_id,HP::Premium::c1,random_forest,40,12,7,35,True,,10,0.1065,1373.06,0.1267,1253.54,True,False
cluster_id,HP::Premium::c2,hedonic_ols,18,5,7,70,False,n_lignes=18 < n_min_requis=70 (ratio=10),4,,,,,False,False
cluster_id,HP::Premium::c2,ridge,18,5,7,35,False,n_lignes=18 < n_min_requis=35 (ratio=5),4,,,,,False,False
cluster_id,HP::Premium::c2,random_forest,18,5,7,35,False,n_lignes=18 < n_min_requis=35 (ratio=5),4,,,,,False,False
cluster_id,HP::Économique::c0,hedonic_ols,47,12,6,60,False,n_lignes=47 < n_min_requis=60 (ratio=10),12,,,,,False,False
cluster_id,HP::Économique::c0,ridge,47,12,6,30,True,,12,-1.0371,376.29,-0.4671,325.97,True,False
cluster_id,HP::Économique::c0,random_forest,47,12,6,30,True,,12,-1.2226,390.23,-1.8342,482.72,True,True
cluster_id,HP::Économique::c1,hedonic_ols,20,5,5,50,False,n_lignes=20 < n_min_requis=50 (ratio=10),4,,,,,False,False
cluster_id,HP::Économique::c1,ridge,20,5,5,25,False,n_lignes=20 < n_min_requis=25 (ratio=5),4,,,,,False,False
cluster_id,HP::Économique::c1,random_forest,20,5,5,25,False,n_lignes=20 < n_min_requis=25 (ratio=5),4,,,,,False,False
cluster_id,HP::Économique::c2,hedonic_ols,20,6,8,80,False,n_lignes=20 < n_min_requis=80 (ratio=10),20,,,,,False,False
cluster_id,HP::Économique::c2,ridge,20,6,8,40,False,n_lignes=20 < n_min_requis=40 (ratio=5),20,,,,,False,False
cluster_id,HP::Économique::c2,random_forest,20,6,8,40,False,n_lignes=20 < n_min_requis=40 (ratio=5),20,,,,,False,False
cluster_id,LENOVO::Milieu de gamme::c0,hedonic_ols,36,9,4,40,False,n_lignes=36 < n_min_requis=40 (ratio=10),8,,,,,False,False
cluster_id,LENOVO::Milieu de gamme::c0,ridge,36,9,4,20,True,,8,0.2662,190.65,-29.1086,1030.59,True,True
cluster_id,LENOVO::Milieu de gamme::c0,random_forest,36,9,4,20,True,,8,0.6499,137.78,-7.1725,601.94,True,True
cluster_id,LENOVO::Milieu de gamme::c1,hedonic_ols,36,9,6,60,False,n_lignes=36 < n_min_requis=60 (ratio=10),8,,,,,False,False
cluster_id,LENOVO::Milieu de gamme::c1,ridge,36,9,6,30,True,,8,-0.0852,339.22,-5.258,743.83,True,True
cluster_id,LENOVO::Milieu de gamme::c1,random_forest,36,9,6,30,True,,8,0.6735,179.12,-2.8834,843.64,True,True
cluster_id,LENOVO::Milieu de gamme::c2,hedonic_ols,44,11,6,60,False,n_lignes=44 < n_min_requis=60 (ratio=10),4,,,,,False,False
cluster_id,LENOVO::Milieu de gamme::c2,ridge,44,11,6,30,True,,4,0.0,153.24,0.0,8.78,True,False
cluster_id,LENOVO::Milieu de gamme::c2,random_forest,44,11,6,30,True,,4,0.0,36.83,0.0,127.67,True,False
cluster_id,LENOVO::Milieu de gamme::c3,hedonic_ols,20,5,6,60,False,n_lignes=20 < n_min_requis=60 (ratio=10),8,,,,,False,False
cluster_id,LENOVO::Milieu de gamme::c3,ridge,20,5,6,30,False,n_lignes=20 < n_min_requis=30 (ratio=5),8,,,,,False,False
cluster_id,LENOVO::Milieu de gamme::c3,random_forest,20,5,6,30,False,n_lignes=20 < n_min_requis=30 (ratio=5),8,,,,,False,False
cluster_id,LENOVO::Premium::c0,hedonic_ols,96,26,8,80,True,,22,0.2175,1372.7,-4.9016,2668.15,True,True
cluster_id,LENOVO::Premium::c0,ridge,96,26,8,40,True,,22,-0.0698,1587.65,-4.6831,2640.75,True,True
cluster_id,LENOVO::Premium::c0,random_forest,96,26,8,40,True,,22,0.5596,1054.87,-2.8828,2289.85,True,True
cluster_id,LENOVO::Premium::c1,hedonic_ols,28,7,8,80,False,n_lignes=28 < n_min_requis=80 (ratio=10),12,,,,,False,False
cluster_id,LENOVO::Premium::c1,ridge,28,7,8,40,False,n_lignes=28 < n_min_requis=40 (ratio=5),12,,,,,False,False
cluster_id,LENOVO::Premium::c1,random_forest,28,7,8,40,False,n_lignes=28 < n_min_requis=40 (ratio=5),12,,,,,False,False
cluster_id,LENOVO::Économique::c0,hedonic_ols,20,5,7,70,False,n_lignes=20 < n_min_requis=70 (ratio=10),10,,,,,False,False
cluster_id,LENOVO::Économique::c0,ridge,20,5,7,35,False,n_lignes=20 < n_min_requis=35 (ratio=5),10,,,,,False,False
cluster_id,LENOVO::Économique::c0,random_forest,20,5,7,35,False,n_lignes=20 < n_min_requis=35 (ratio=5),10,,,,,False,False
cluster_id,LENOVO::Économique::c1,hedonic_ols,55,16,6,60,False,n_lignes=55 < n_min_requis=60 (ratio=10),8,,,,,False,False
