url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,cpu_brand,cpu_serie,os_platform,semaine,cluster_direct,gamme_prix,cluster_id
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-12g-512go-ssd-silver.html,1925.0,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gen 12G 512Go SSD - Silver,ASUS,12.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-12g-512g-ssd-bleu.html,1925.0,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gen 12G 512G SSD - Bleu,ASUS,12.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13eme-gen-24g-512g-ssd-silver.html,1929.0,PC Portable ASUS Vivobook 15 X1504VA i3 13ème Gén 24G 512G SSD - Silver,ASUS,24.0,512.0,15.6,Intel,3.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13eme-gen-24go-512go-ssd-bleu.html,1929.0,PC Portable ASUS Vivobook 15 X1504VA i3 13ème Gén 24Go 512Go SSD - Bleu,ASUS,24.0,512.0,15.6,Intel,3.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-m1502ya-amd-ryzen7-16go-512g-ssd-silver.html,1929.0,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 16Go 512G SSD - Silver,ASUS,16.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Économique,ASUS::Économique::c1
https://www.mytek.tn/pc-portable-asus-vivobook-15-m1502ya-amd-ryzen7-16go-512g-ssd-bleu.html,1929.0,PC Portable ASUS Vivobook 15 M1502YA AMD RYZEN7 16Go 512G SSD - Bleu,ASUS,16.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Économique,ASUS::Économique::c1
https://www.mytek.tn/pc-portable-asus-vivobook-15-m1502naq-amd-ryzen-5-8go-512go-ssd-bleu.html,1999.0,PC Portable ASUS Vivobook 15 M1502NAQ AMD RYZEN 5 8Go 512Go SSD - Bleu,ASUS,8.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Économique,ASUS::Économique::c1
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-16g-512g-ssd-bleu.html,2039.0,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 16G 512G SSD - Bleu,ASUS,16.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-16g-512g-ssd-silver.html,2039.0,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 16G 512G SSD - Silver,ASUS,16.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-8g-512g-ssd-bleu.html,2099.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 8G 512G SSD - Bleu,ASUS,8.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-8g-512g-ssd-silver.html,2099.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 8G 512G SSD - Silver,ASUS,8.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Économique,ASUS::Économique::c3
https://www.mytek.tn/pc-portable-asus-expertbook-p1503-i7-13e-gen-8go-512g-ssd-gris.html,2099.0,PC Portable ASUS ExpertBook P1503 i7 13è Gén 8Go 512G SSD - Gris,ASUS,8.0,512.0,15.6,Intel,7.0,FreeDos,1,0,Économique,ASUS::Économique::c2
