feature,coefficient
marque_BMAX,-0.7861258691359713
cpu_serie_3.0,-0.36638272326119636
cpu_brand_Autre,0.2526088468406695
os_platform_Freedos,0.20300069037850244
cpu_brand_Qualcomm,-0.154899081748432
cpu_brand_Intel,0.14255813616439925
marque_CHUWI,-0.1401716079854861
os_platform_Windows 11 Pro (Offert),0.1399211388889924
os_platform_Windows 11,0.1389816500999401
marque_MSI,0.10771885131627602
marque_GIGABYTE,-0.09000083214832015
marque_DELL,-0.07595822309695545
marque_LENOVO,0.06786665527655787
cpu_serie_7.0,0.06242285054371856
cpu_serie_5.0,-0.04282531603166597
os_platform_Windows 11 Pro,-0.040968990533241656
marque_HP,0.02501269842085514
ram_go,0.018548886755504305
taille_ecran,-0.015566381477847897
cpu_serie_9.0,-0.015184875834704225
os_platform_Windows 11 Famille,0.004215071025235682
stockage_go,0.0010512095462781275
