feature,importance
stockage_go,0.38615852186920013
ram_go,0.29630130234926205
taille_ecran,0.11379747750256465
cpu_serie_3.0,0.0535836057883182
marque_MSI,0.034189035431076154
marque_LENOVO,0.021674908385537997
cpu_serie_7.0,0.017272510310605057
cpu_brand_Intel,0.016898598525338492
marque_DELL,0.014974390158152138
cpu_serie_5.0,0.010041611320331368
os_platform_Windows 11 Pro,0.008437541343338557
marque_HP,0.008275371219719685
os_platform_Windows 11 Famille,0.007458292562426119
marque_GIGABYTE,0.003995022783882681
cpu_brand_Qualcomm,0.0021798979339925236
marque_BMAX,0.001861521984845941
marque_CHUWI,0.0016865978807838083
cpu_brand_Autre,0.0007035617196965984
cpu_serie_9.0,0.00037998865598804795
os_platform_Freedos,7.978371965132075e-05
os_platform_Windows 11 Pro (Offert),4.9696420942429405e-05
os_platform_Windows 11,7.621343461788404e-07
