feature,coefficient,std_err,p_value,pct_effect
const,7.087595782609824,0.5431879702067527,6.511294568546238e-39,
marque_BMAX,-0.8314429537031981,0.051202811065365735,2.7062633041138583e-59,-56.457945887673944
cpu_serie_3.0,-0.3882748745677093,0.04206215391410783,2.6816860202154425e-20,-32.17741094087564
cpu_brand_Autre,0.2783076587639007,0.04758404213521939,4.952500199441487e-09,32.08925188612803
os_platform_Freedos,0.20259869303833763,0.04860738874931047,3.0719808224926366e-05,22.458093677154878
cpu_brand_Qualcomm,-0.1712575506941493,0.14697673919299353,0.24393734576321768,-15.739546785889925
cpu_brand_Intel,0.15827464680016978,0.04720830879471307,0.0008003137989017403,17.148789593059654
os_platform_Windows 11 Pro (Offert),0.15064461926251108,0.044593132702543295,0.0007296140918840995,16.258342490367884
marque_GIGABYTE,-0.1366601021247481,0.09911492955481255,0.16795506616445588,-12.773334266543134
os_platform_Windows 11,0.1347489013818146,0.06639555476579294,0.04240873302835672,14.424942882509907
marque_CHUWI,-0.12260161242418202,0.06514183266732997,0.05982625478428678,-11.538398760102886
marque_MSI,0.11636960202583456,0.051717969397183754,0.024443826379885278,12.341101039584457
marque_LENOVO,0.07575711453612546,0.03835505836429985,0.04825077018406136,7.870054165518758
marque_DELL,-0.07260242271619358,0.041843871918947714,0.08272681643968108,-7.002950832151278
cpu_serie_7.0,0.05606682477537316,0.04366748577349488,0.19915980002703537,5.766835982569263
cpu_serie_5.0,-0.05079099622704005,0.04040014223899904,0.20868178421561934,-4.952269688331167
os_platform_Windows 11 Pro,-0.04247314984072573,0.02857853522778762,0.13722871852869212,-4.158380119693705
cpu_serie_9.0,-0.03704232184572902,0.044761733833119766,0.4079285712890891,-3.6364648340652894
marque_HP,0.03288964635605262,0.03881162491490759,0.39676250816651015,3.3436489466116326
ram_go,0.018955597170942088,0.0014166101175879416,7.813622445317285e-41,1.895559717094209
taille_ecran,-0.012420433942297332,0.03308077743481282,0.7073200697745747,-1.242043394229733
os_platform_Windows 11 Famille,0.0027602158860096718,0.03451403514894086,0.9362581550365031,0.2764028789216555
stockage_go,0.0011375368171304113,0.00013083290354824794,3.481227749941289e-18,0.11375368171304112
