feature,ols_coefficient,ridge_coefficient,ols_ridge_signes_accordent,rf_importance
stockage_go,0.0011375368171304113,0.0010512095462781275,True,0.38615852186920013
ram_go,0.018955597170942088,0.018548886755504305,True,0.29630130234926205
taille_ecran,-0.012420433942297332,-0.015566381477847897,True,0.11379747750256465
cpu_serie_3.0,-0.3882748745677093,-0.36638272326119636,True,0.0535836057883182
marque_MSI,0.11636960202583456,0.10771885131627602,True,0.034189035431076154
marque_LENOVO,0.07575711453612546,0.06786665527655787,True,0.021674908385537997
cpu_serie_7.0,0.05606682477537316,0.06242285054371856,True,0.017272510310605057
cpu_brand_Intel,0.15827464680016978,0.14255813616439925,True,0.016898598525338492
marque_DELL,-0.07260242271619358,-0.07595822309695545,True,0.014974390158152138
cpu_serie_5.0,-0.05079099622704005,-0.04282531603166597,True,0.010041611320331368
os_platform_Windows 11 Pro,-0.04247314984072573,-0.040968990533241656,True,0.008437541343338557
marque_HP,0.03288964635605262,0.02501269842085514,True,0.008275371219719685
os_platform_Windows 11 Famille,0.0027602158860096718,0.004215071025235682,True,0.007458292562426119
marque_GIGABYTE,-0.1366601021247481,-0.09000083214832015,True,0.003995022783882681
cpu_brand_Qualcomm,-0.1712575506941493,-0.154899081748432,True,0.0021798979339925236
marque_BMAX,-0.8314429537031981,-0.7861258691359713,True,0.001861521984845941
marque_CHUWI,-0.12260161242418202,-0.1401716079854861,True,0.0016865978807838083
cpu_brand_Autre,0.2783076587639007,0.2526088468406695,True,0.0007035617196965984
cpu_serie_9.0,-0.03704232184572902,-0.015184875834704225,True,0.00037998865598804795
os_platform_Freedos,0.20259869303833763,0.20300069037850244,True,7.978371965132075e-05
os_platform_Windows 11 Pro (Offert),0.15064461926251108,0.1399211388889924,True,4.9696420942429405e-05
os_platform_Windows 11,0.1347489013818146,0.1389816500999401,True,7.621343461788404e-07
