feature,coefficient,std_err,p_value,pct_effect
cpu_serie_5.0,-0.48788462126520227,0.1880630413106418,0.009479448350781416,-38.60762973033
cpu_serie_7.0,-0.4770858206330315,0.1825501381923272,0.008963296510356714,-37.9410732355806
cpu_serie_9.0,-0.36022185624728054,0.19676084671216512,0.06713639701349153,-30.2478440611875
taille_ecran,0.27832583836824226,0.0900080596653805,0.001986572554660832,27.832583836824227
os_platform_Windows 11 Pro,-0.1526472571012949,0.046720518109915496,0.0010860065490660507,-14.156752562930098
os_platform_Windows 11 Famille,-0.14259749663882113,0.06303159691093511,0.023677782318621127,-13.289698945808336
os_platform_Windows 11 Pro (Offert),-0.04209530546801188,0.052605507758756435,0.4235907655465889,-4.122160060608316
stockage_go,0.007937245483007916,0.0024321746673882493,0.0011007018281607261,0.7937245483007915
ram_go,0.0022208467422344894,0.0036240772006079567,0.5400063585588859,0.22208467422344894
const,1.5502432583474434e-05,4.750341147435107e-06,0.001100701829103854,
