cle_produit,categorie,cluster_direct
https://www.mytek.tn/telephone-portable-ami-c14-style-3-bleu-champagne.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-style-4-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-style-4-vert-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-gris.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-style-4-bleu-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-vert.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-vert.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-marron-fonce.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-bleu-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-orange.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-gris.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-ami-f35-strong-2-vert-silver.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-noir.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-bleu.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-vert.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-clever-c4-gold.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-clever-c4-rouge.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-clever-c4-purple.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-clever-c4-vert.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-evertek-ex18-orange.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3218-silver.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3218-rouge.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3218-bleu.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3218-bleu-marine.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3218-vert.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3218-noir.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-evertek-e3224-bleu-fonce.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-itel-it2165-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-itel-it2165-bleu-cite.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-joytel-2100-2-4-lcd-2500mah-noir.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-maxfone-16-max-noir.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-maxfone-16-max-gold.html,telephones_portables,4
https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-noir.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-nokia-105-crazy-5-bleuu.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-philips-e2106-noir.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-deep-blue.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-philips-fun-100-dual-sim-2-1000-mah-bleu.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-philips-e2130-deep-bleu.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-philips-fun101-2-1500-mah-noir.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-smartec-v2-noir.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-smartec-v2-blanc.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-2-bleu.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-smartec-v2-bleu.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-smartec-v2-rose.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-smartec-power-x1-1400-mah-noir.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-smartec-power-x1-double-sim-1400-mah-bleu.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,telephones_portables,5
https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,telephones_portables,2
https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,telephones_portables,3
https://www.mytek.tn/telephone-portable-x-tigi-kids1-rose.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-x-tigi-kids1-bleu.html,telephones_portables,0
https://www.mytek.tn/telephone-portable-x-tigi-kids1-violet.html,telephones_portables,1
https://www.mytek.tn/telephone-portable-x-tigi-kids1-vert.html,telephones_portables,0
