cle_produit,categorie,marque,gamme,cluster_segmentation
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-lilas.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-light-blue.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-gris.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-navy.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-lilas.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-clair.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-marine.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-noir.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-blanc.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-5g-12go-256go-ice-bleu.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-12go-256go-light-green.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-blanc.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-violet-de-cobalt.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-noir.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256g-bleu-ciel.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-noir-titanium.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-gris-titanium.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-bleu-titanium.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-noir.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-blanc.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-bleu-ciel.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-512go-violet-de-cobalt.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-bleu-ciel.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-blanc.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-noir.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-256go-violet-de-cobalt.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-noir.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-blanc.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-bleu-ciel.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-ultra-5g-12go-512go-violet-de-cobalt.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-noir-de-minuit.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-vert-menthe.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-bleu-moonlight.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-orange-twilight.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-6go-128go-noir-de-minuit.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-6go-128go-vert-menthe.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-5g-vert-menthe.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-6go-128go-lime-vert.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-noir-de-minuit.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-vert-menthe.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-bleu-moonlight.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-orange-twilight.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15-8go-256go-violet-sableux.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15-8go-256go-noir-de-minuit.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15-8go-256go-gris-titane.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-4go-128go-5g-noir-de-minuit.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-noir-de-minuit.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-ocean-blue.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-256go-lime-vert.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-4g-8go-256go-sand-gold.html,smartphones,XIAOMI,Économique,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-128go-ocean-blue.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-8go-128go-lime-vert.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-4g-8go-128go-midnight-black.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-14-4g-8go-128go-purple.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-noir.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-glacier-blue.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-violet.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-forest-green.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-5g-vert-menthe.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-15c-8go-256go-5g-noir-de-minuit.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-noir.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-forest-green.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-glacier-blue.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-4g-8go-256go-violet.html,smartphones,XIAOMI,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-couleur-noir.html,smartphones,XIAOMI,Premium,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-couleur-glacier-blue.html,smartphones,XIAOMI,Premium,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-6go-128go-couleur-violet-lavande.html,smartphones,XIAOMI,Premium,0
https://www.mytek.tn/smartphone-xiaomi-redmi-note-15-5g-8go-256go-couleur-noir.html,smartphones,XIAOMI,Premium,0
