cle_produit,categorie,marque,gamme,cluster_segmentation
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-rtx-5060-8g.html,pc_bureau,MSI,Milieu de gamme,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-16go-rtx-5060-ti-16g.html,pc_bureau,MSI,Milieu de gamme,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-16g-rtx-5060-8g.html,pc_bureau,MSI,Milieu de gamme,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-12e-gen-16go-rtx-5070-12g.html,pc_bureau,MSI,Milieu de gamme,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen5-32go-rtx-5060-8g.html,pc_bureau,MSI,Milieu de gamme,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-32go-rtx5060-8go.html,pc_bureau,MSI,Milieu de gamme,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-32go-rtx-5060-8g.html,pc_bureau,MSI,Milieu de gamme,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-14e-gen-16go-rtx-5060-ti-16g.html,pc_bureau,MSI,Milieu de gamme,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-16g-rtx-5060-ti-16g.html,pc_bureau,MSI,Milieu de gamme,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-14e-gen-16go-rtx-5070-12g.html,pc_bureau,MSI,Milieu de gamme,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-32go-rtx5060-8g.html,pc_bureau,MSI,Milieu de gamme,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-32go-rtx-5060-ti-16g.html,pc_bureau,MSI,Premium,profil_descriptif
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-12e-gen-32go-rtx-5070-12g.html,pc_bureau,MSI,Premium,profil_descriptif
