cle_produit,categorie,cluster_direct
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-polaris-titanium.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-cloudine-blue.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-sunlike-orange.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-shadow-black.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sleek-black.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-titanium-silver.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-misty-violet.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-coral-tides.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sonic-yellow.html,smartphones,0
https://www.mytek.tn/smartphone-infinix-note-40-5g-pro-24go-256go-edition-racing-gris.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-lunar-titanium.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-silk-green.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-shadow-black.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-orange.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-deep-ocean-blue.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-titanium.html,smartphones,2
https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-noir.html,smartphones,3
https://www.mytek.tn/smartphone-infinix-gt-50-pro-5g-12go-256go-rouge.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-1-2go-16go-bleu-fonce.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-1-2go-16go-violet.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-1-2go-16go-bleu-ciel.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-6-2go-16go-noir.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-6-2go-16go-gold.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-6-2-2go-16go-silver.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-2-4go-32go-purple.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-2-4go-32go-vert.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-2-4go-32go-dark-bleu.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-3-2-2-go-32go-rose.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-3-2-2-go-32go-sky-blue.html,smartphones,3
https://www.mytek.tn/smartphone-lesia-young-3-4go-32go-dark-blue.html,smartphones,3
https://www.mytek.tn/smartphone-oppo-a5x-4go-128go-laser-white.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a5x-4go-128go-midnight-blue.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a6x-4go-128go-bleu.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a6x-4go-128go-violet.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a5-4g-6go-128go-blanc-brumeux.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a5-4g-6go-128go-vert-aurore.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a6x-5g-8go-4go-4go-ram-extensible-128go-plum-purple.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-a6x-5g-8go-4go-4go-ram-extensible-128go-bleu-glacier.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a76-6go-128go-bleu.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a5-4g-8go-256go-vert-aurore.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a5-4g-8go-256go-blanc-brumeux.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a5-5g-6go-128go-vert.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-a5-5g-6go-128go-blanc.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-a6-pro-4g-8go-256go-bleu.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a6-pro-4g-8go-256go-rouge.html,smartphones,0
https://www.mytek.tn/smartphone-oppo-a6-8go-256go-aurora-gold.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-a6-8go-256go-saphir-bleu.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-a6-pro-5g-8go-256go-bleu.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-a6-pro-5g-8go-256go-rouge.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-reno14-f-5g-12go-256go-opal-blue.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-reno-15f-5g-24go-512go-bleu-crepuscule.html,smartphones,2
https://www.mytek.tn/smartphone-oppo-reno-15f-5g-24go-512go-bleu-aurore.html,smartphones,2
https://www.mytek.tn/smartphone-oscal-flat-2-4go-128go-bleu.html,smartphones,0
https://www.mytek.tn/smartphone-oscal-flat-2-12go-128go-noir.html,smartphones,0
https://www.mytek.tn/smartphone-oscal-flat-2-6go-256go-noir.html,smartphones,0
https://www.mytek.tn/smartphone-oscal-flat-2-6go-256go-bleu.html,smartphones,0
https://www.mytek.tn/smartphone-oscal-marine-2-12go-64go-noir.html,smartphones,0
https://www.mytek.tn/smartphone-oscal-tiger-12-8go-128go-bleu.html,smartphones,0
https://www.mytek.tn/smartphone-oscal-tiger-12-16go-128go-gris.html,smartphones,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-64go-couleur-noir.html,smartphones,0
