categorie,marque,gamme,cluster_segmentation,cle_produit,semaine,prix_tnd
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-55-smart-4k-uhd-dled-google-tv-noir.html,1,1479.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-55-smart-4k-uhd-dled-google-tv-noir.html,2,1479.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-55-smart-4k-uhd-dled-google-tv-noir.html,3,1479.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-55-smart-4k-uhd-dled-google-tv-noir.html,4,1479.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-65-smart-4k-uhd-dled-google-tv-noir.html,1,2399.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-65-smart-4k-uhd-dled-google-tv-noir.html,2,2399.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-65-smart-4k-uhd-dled-google-tv-noir.html,3,2399.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6500n-65-smart-4k-uhd-dled-google-tv-noir.html,4,2399.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6gn-50-uhd-4k-smart-google-tv-noir.html,1,1299.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6gn-50-uhd-4k-smart-google-tv-noir.html,2,1299.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6gn-50-uhd-4k-smart-google-tv-noir.html,3,1299.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-hisense-a6gn-50-uhd-4k-smart-google-tv-noir.html,4,1299.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-lazer-hisense-100l5ge-100-4k-hdr-smart-noir.html,1,6999.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-lazer-hisense-100l5ge-100-4k-hdr-smart-noir.html,2,6999.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-lazer-hisense-100l5ge-100-4k-hdr-smart-noir.html,3,6999.0
televiseurs,HISENSE,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-lazer-hisense-100l5ge-100-4k-hdr-smart-noir.html,4,6999.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-55-b56la-ai-smart-tv-oled-4k-ultra-hd.html,1,5499.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-55-b56la-ai-smart-tv-oled-4k-ultra-hd.html,2,5499.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-55-b56la-ai-smart-tv-oled-4k-ultra-hd.html,3,5499.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-55-b56la-ai-smart-tv-oled-4k-ultra-hd.html,4,5499.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-65-b56la-ai-smart-tv-oled-4k-ultra-hd.html,1,7599.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-65-b56la-ai-smart-tv-oled-4k-ultra-hd.html,2,7599.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-65-b56la-ai-smart-tv-oled-4k-ultra-hd.html,3,7599.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/televiseur-lg-65-b56la-ai-smart-tv-oled-4k-ultra-hd.html,4,7599.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/tv-lg-65-nanocell-nano80-4k-smart-tv-65nano80t6a.html,1,3799.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/tv-lg-65-nanocell-nano80-4k-smart-tv-65nano80t6a.html,2,3799.0
televiseurs,LG,Premium,profil_descriptif,https://www.mytek.tn/tv-lg-65-nanocell-nano80-4k-smart-tv-65nano80t6a.html,3,3799.0
