categorie,marque,gamme,cluster_segmentation,cle_produit,semaine,prix_tnd
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,1,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,2,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,3,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,4,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,1,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,2,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,3,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,4,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-noir.html,1,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-noir.html,2,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-noir.html,3,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-noir.html,4,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-vert.html,1,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-vert.html,2,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-vert.html,3,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-vert.html,4,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-orange.html,1,1199.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-orange.html,2,1199.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-orange.html,3,1199.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-orange.html,4,1199.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-gold.html,1,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-gold.html,2,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-gold.html,3,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-gold.html,4,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-marron-rougeatre.html,1,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-marron-rougeatre.html,2,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-marron-rougeatre.html,3,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-marron-rougeatre.html,4,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-noir-de-minuit.html,1,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-noir-de-minuit.html,2,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-noir-de-minuit.html,3,1499.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-x9d-5g-12go-256go-noir-de-minuit.html,4,1499.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5b-plus-4go-128go-bleu.html,1,469.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5b-plus-4go-128go-bleu.html,2,469.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5b-plus-4go-128go-bleu.html,3,469.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5b-plus-4go-128go-bleu.html,4,469.0
smartphones,HONOR,Économique,profil_descriptif,https://www.mytek.tn/smartphone-honor-x5c-4go-64go-bleu.html,1,379.0
